t_s,forward_m,lateral_m,relative_z_m,relative_yaw_rad
0.0,0.0,0.0,0.0,0.0
0.02,0.00023536218333348883,-0.00018899177933401134,-0.003168652990972104,4.74844321284168e-05
0.04,0.0004601004343275405,-0.00036105861553070457,-0.006493090877799007,9.325513946750741e-05
0.060000000000000005,0.0006781827461980556,-0.0005169695353657871,-0.009655276227488435,0.000137695908305549
0.08,0.0008886574292951499,-0.0006570531580718082,-0.012466773332435233,0.00018112694097598137
0.09200000000000001,0.001014843244754892,-0.000737139956266975,-0.013881020744363981,0.00020693620589777584
0.1,0.0010995388154833934,-0.0007897542133720814,-0.014661387599070486,0.0002240769770286838
0.12000000000000001,0.0013154777949770239,-0.000923256336418066,-0.01585168114837099,0.00026677662742982666
0.14,0.0015380323810837457,-0.001064077088968659,-0.015571862695197392,0.00030934109462385506
0.16,0.0017589160451706254,-0.0012073881126074685,-0.013482931525464842,0.00035185620478790647
0.18000000000000002,0.0019657437474331703,-0.001340245454231565,-0.009679787078739899,0.00039349147192691003
0.2,0.0021518430502064515,-0.001454104489174711,-0.004712376673912749,0.00043335962087306945
0.22,0.0023156128950832136,-0.0015501743290800558,0.0006811641945665969,0.0004709820268607584
0.24000000000000002,0.0024596338990312584,-0.0016348546566544396,0.0059072875206503395,0.000506439592238575
0.26,0.002587021299586917,-0.0017114683832399136,0.010559174567434632,0.0005400433400782889
0.28,0.00270091402762137,-0.0017849015610007413,0.014470130419925953,0.0005720974315334554
0.30000000000000004,0.002803294709963361,-0.0018615234054315118,0.017271092466392968,0.000603011030083353
0.316,0.0028796519238558794,-0.0019272563350724386,0.01844570260153852,0.0006272889910250018
0.32,0.0028984056923973206,-0.0019443689125231323,0.018566521111777257,0.0006333416682603593
0.34,0.002992208673864929,-0.0020287892726704427,0.018072261155884256,0.0006633895446889332
0.36200000000000004,0.0030964432999245487,-0.0021050354686508654,0.015648651789508777,0.0006955603076597983
0.382,0.003190642776165452,-0.0021496162831770075,0.012369863210839271,0.0007241189051182539
0.402,0.0032831465960106126,-0.0021751679926155666,0.008710698189409144,0.0007521958823364233
0.42200000000000004,0.003374554904082697,-0.0021920086699540415,0.005236000487551878,0.0007798885202887906
0.442,0.003464817002717818,-0.0022070287353387953,0.002210232982826743,0.0008071804299706609
0.462,0.003555603049935319,-0.002229723700664183,-2.3981540040157734e-05,0.0008340786705836045
0.48200000000000004,0.0036477493485730685,-0.002267108738653657,-0.0010195230508940611,0.0008606332413509943
0.502,0.003741135792880968,-0.0023192274156376095,-0.0002926797755498922,0.0008871103711011186
0.522,0.0038314474829213713,-0.002373343055946788,0.0023486525748493414,0.0009134737284404865
0.542,0.003913931225903159,-0.0024140032173937988,0.00652580825216309,0.0009391426967713806
0.542,0.003913931225903159,-0.0024140032173937988,0.00652580825216309,0.0009391426967713806
0.562,0.003985776218515712,-0.0024386535232690885,0.011500534317493372,0.0009636263733921457
0.5820000000000001,0.004046395932021789,-0.0024546799007432187,0.016565840637770723,0.000986786045443666
0.6020000000000001,0.004096713068781335,-0.002469538502475907,0.021223344498780827,0.0010087447431549879
0.622,0.004138839764934296,-0.002486310982675723,0.025245558221625747,0.0010297207969404143
0.642,0.004173521538737212,-0.0025118669157432314,0.028323279321015277,0.0010499295914913054
0.662,0.004203259874675092,-0.0025489547715662215,0.02999443276419622,0.001069659108043311
0.682,0.0042320498984886185,-0.002593041537708527,0.0297785729584146,0.001089174432427592
0.7020000000000001,0.004262327163102134,-0.002627186725034331,0.02756015155925684,0.0011082183790911693
0.7220000000000001,0.004295241306636387,-0.00263902379337575,0.02383612446432834,0.0011268016186141844
0.742,0.0043304354873949765,-0.0026328226330344416,0.019415738177308572,0.0011449542448058042
0.762,0.00436743934793719,-0.0026205512762471983,0.014963668201687902,0.0011626379710211604
0.766,0.0043750790593867035,-0.002618262570462698,0.014122737526291312,0.001166116367588746
0.782,0.004406044406970943,-0.002608326019908341,0.010969348127533446,0.001179829175248781
0.802,0.0044465517458050835,-0.002601812590936655,0.007620262732673272,0.0011965552773404442
0.8200000000000001,0.004485105725321744,-0.0026046954943473866,0.005447633153993742,0.0012112806521398511
0.8400000000000001,0.0045298598312333484,-0.002620210546726797,0.004360719987586803,0.0012274225476806566
0.8600000000000001,0.00457529444089951,-0.002643614484130121,0.005047632378370082,0.0012435282229585065
0.88,0.004618184128390092,-0.002662473370980726,0.007551071347027677,0.001259458992088472
0.9,0.004655941229804112,-0.0026701703143029647,0.011411907010003358,0.001274890922358704
0.92,0.004686708037444072,-0.0026695995364252384,0.015906754896859665,0.0012896305799533908
0.9400000000000001,0.004710258713938825,-0.002667974465858826,0.02042923197563762,0.001303685911407254
0.9600000000000001,0.004726782318641748,-0.002668623816814539,0.02452561722837618,0.0013171423626985451
0.9800000000000001,0.004737491655415981,-0.002674387990175919,0.027980672336235357,0.0013301107442895976
0.9920000000000001,0.004741291485326728,-0.0026816034198747568,0.02957484193042978,0.0013376989201934475
1.0,0.004742946634245241,-0.0026881017157459643,0.03037716365278187,0.0013426941181975821
1.02,0.004745761813807724,-0.002710224586743196,0.031212246863309062,0.0013550469803675497
1.04,0.0047491724447664176,-0.0027321181810538615,0.030029089937039538,0.0013672085340964701
1.062,0.004756300481360883,-0.0027411877814383905,0.02651393092495727,0.0013802600268930515
1.082,0.004767679853061881,-0.002732046071855272,0.02203893432880258,0.0013918383549907931
1.102,0.004783032697484107,-0.002714210587839927,0.017157176739811403,0.0014030658334630575
1.122,0.0048016685361088815,-0.0026967828513449156,0.01247013480197745,0.0014138842807178142
