wall_mono_s,sim_time,lin_vel_body_x,lin_vel_body_y,lin_vel_body_z,ang_vel_body_x,ang_vel_body_y,ang_vel_body_z,base_depth_m,base_vz_down_mps,buoy_force_world_z,weight_force_world_z,net_static_force_world_z,initial_depth_hold_active,thr_force_body_x,thr_force_body_y,thr_force_body_z,thr_torque_body_x,thr_torque_body_y,thr_torque_body_z,thr_force_world_x,thr_force_world_y,thr_force_world_z,thr_torque_world_x,thr_torque_world_y,thr_torque_world_z,xfrc_force_world_x,xfrc_force_world_y,xfrc_force_world_z,xfrc_torque_world_x,xfrc_torque_world_y,xfrc_torque_world_z,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qfrc_applied_0,qfrc_applied_1,qfrc_applied_2,qfrc_applied_3,qfrc_applied_4,qfrc_applied_5,qfrc_actuator_0,qfrc_actuator_1,qfrc_actuator_2,qfrc_actuator_3,qfrc_actuator_4,qfrc_actuator_5,qfrc_fluid_0,qfrc_fluid_1,qfrc_fluid_2,qfrc_fluid_3,qfrc_fluid_4,qfrc_fluid_5,qfrc_passive_0,qfrc_passive_1,qfrc_passive_2,qfrc_passive_3,qfrc_passive_4,qfrc_passive_5,qfrc_bias_0,qfrc_bias_1,qfrc_bias_2,qfrc_bias_3,qfrc_bias_4,qfrc_bias_5,qacc_0,qacc_1,qacc_2,qacc_3,qacc_4,qacc_5,sitl_ch1_pwm,sitl_ch2_pwm,sitl_ch3_pwm,sitl_ch4_pwm,sitl_ch5_pwm,sitl_ch6_pwm,sitl_ch7_pwm,sitl_ch8_pwm,ver_lf_servo_norm,ver_lf_target,ver_lf_state,ver_lf_force,ver_lf_direct_gain,ver_lr_servo_norm,ver_lr_target,ver_lr_state,ver_lr_force,ver_lr_direct_gain,ver_rf_servo_norm,ver_rf_target,ver_rf_state,ver_rf_force,ver_rf_direct_gain,ver_rr_servo_norm,ver_rr_target,ver_rr_state,ver_rr_force,ver_rr_direct_gain,yaw_lf_servo_norm,yaw_lf_target,yaw_lf_state,yaw_lf_force,yaw_lf_direct_gain,yaw_lr_servo_norm,yaw_lr_target,yaw_lr_state,yaw_lr_force,yaw_lr_direct_gain,yaw_rf_servo_norm,yaw_rf_target,yaw_rf_state,yaw_rf_force,yaw_rf_direct_gain,yaw_rr_servo_norm,yaw_rr_target,yaw_rr_state,yaw_rr_force,yaw_rr_direct_gain
299128.788,41.7,0.261859998,-0.07345814,0.00625121492,0.0354924691,0.00141948864,-0.916101365,0.384701737,0.00516441559,150.09763,-147.154539,2.94309079,0,47.2526518,-16.5749911,-0.161303191,1.25702519,3.52203942,-7.89480661,18.9295543,-46.3063269,-2.22834447,3.27240806,1.66959787,-7.92569454,1.83251831,1.53785812,148.589805,-4.03581389,-2.11686285,-15.4341367,0.114667903,-0.248442362,-0.00516441559,0.0354924691,0.00141948864,-0.916101365,0,0,0,0,0,0,18.9295549,-46.3063281,-2.22834452,0.507835606,1.38550987,-7.82187687,-23.974182,42.8968696,0.739789681,-0.329470556,3.02496657,24.0397053,-23.974182,42.8968696,0.739789681,-0.329470556,3.02496657,24.0397053,0.0520796811,-0.057390639,147.154271,0.0289169565,0.940066609,-0.00273986573,-0.218941572,-0.116203642,-0.00281549696,0.0215790844,-0.103089222,0.829522667,1260,1396,1192,1464,1518,1465,1585,1430,-0.0875,-0.0875,-0.0894020342,-0.014021507,0.02,0.175,0.175,0.171678748,0.0720675803,0.02,-0.045,-0.045,-0.0399944287,0,0.02,0.2125,0.2125,0.217582141,0.103257118,0.02,0.26,0.26,0.715878681,35.3342074,1,-0.09,-0.09,-0.557478885,-18.6256918,1,0.6,0.6,0.157427493,3.06669019,1,-0.77,-0.77,-0.383264119,-9.79875181,1
299128.84,41.75,0.263444662,-0.0732779174,0.00618969735,0.0362696185,-0.00354940652,-0.875003351,0.38496337,0.0052864538,150.09763,-147.154539,2.94309079,0,46.9606689,-16.2635242,-0.161051362,1.23296776,3.5002129,-7.29274716,16.8951663,-46.6847131,-2.21889689,3.32462669,1.50522551,-7.32372955,1.83463354,1.46931563,148.615498,-4.10977401,-1.98538572,-14.3733243,0.104535469,-0.254176652,-0.0052864538,0.0362696185,-0.00354940652,-0.875003351,0,0,0,0,0,0,16.8951667,-46.6847144,-2.21889695,0.497856477,1.37688208,-7.22118786,-21.6012304,43.3308304,0.711761688,-0.319409584,3.03009747,22.4330857,-21.6012304,43.3308304,0.711761688,-0.319409584,3.03009747,22.4330857,0.043757768,-0.057356863,147.15447,0.0268526567,0.940793983,-0.0027996478,-0.194963885,-0.117150366,-0.00228518668,0.0150855818,-0.099598744,0.89273022,1260,1396,1192,1464,1518,1465,1585,1430,-0.0875,-0.0875,-0.0886236791,-0.0137445235,0.02,0.175,0.175,0.173461034,0.0730189396,0.02,-0.045,-0.045,-0.0426805716,0,0.02,0.2125,0.2125,0.215502415,0.101776946,0.02,0.26,0.26,0.704622996,34.2349487,1,-0.09,-0.09,-0.54593679,-17.958249,1,0.6,0.6,0.177094071,3.74791024,1,-0.77,-0.77,-0.400449488,-10.471307,1
299128.893,41.8,0.265920376,-0.0730082563,0.00616915215,0.037000625,-0.00806031115,-0.831157352,0.385229519,0.00535157654,150.09763,-147.154539,2.94309079,0,46.7987278,-16.1428949,-0.160781376,1.22354965,3.48813227,-6.67719452,14.8891841,-47.1612706,-2.20603139,3.38458456,1.33937408,-6.70818393,1.8518455,1.4147152,148.637431,-4.15823627,-1.83717214,-13.2838409,0.0952964778,-0.259971657,-0.00535157654,0.037000625,-0.00806031115,-0.831157352,0,0,0,0,0,0,14.8891845,-47.161272,-2.20603145,0.493890818,1.37212237,-6.60616597,-19.4034962,43.7484053,0.697318002,-0.301807829,3.03143995,20.7918074,-19.4034962,43.7484053,0.697318002,-0.301807829,3.03143995,20.7918074,0.0359896291,-0.0561219967,147.154712,0.0258790132,0.939767149,-0.00293594195,-0.179667984,-0.125585804,-0.00132756496,0.0247845193,-0.0757111037,0.96511617,1260,1396,1192,1464,1518,1465,1585,1430,-0.0875,-0.0875,-0.0881638443,-0.0135808879,0.02,0.175,0.175,0.17428689,0.0734597704,0.02,-0.045,-0.045,-0.0439252479,0,0.02,0.2125,0.2125,0.214273759,0.100902494,0.02,0.26,0.26,0.693645215,33.2248926,1,-0.09,-0.09,-0.53467967,-17.2599534,1,0.6,0.6,0.195886727,4.4169939,1,-0.77,-0.77,-0.41687119,-11.2815556,1
299128.945,41.85,0.269289598,-0.0730834859,0.00618040219,0.0379683907,-0.0111704407,-0.785167271,0.385498259,0.00539156167,150.09763,-147.154539,2.94309079,0,46.7505338,-16.1451234,-0.160565709,1.22352554,3.48457494,-6.11437716,12.9441103,-47.6859403,-2.19187295,3.44637949,1.17762077,-6.14496241,1.8870124,1.35949579,148.661791,-4.18766485,-1.67267017,-12.2507436,0.0866062643,-0.266229328,-0.00539156167,0.0379683907,-0.0111704407,-0.785167271,0,0,0,0,0,0,12.9441106,-47.6859416,-2.19187301,0.49376598,1.37074437,-6.04333878,-17.3915624,44.3269956,0.673835993,-0.285462323,3.02098808,19.1641153,-17.3915624,44.3269956,0.673835993,-0.285462323,3.02098808,19.1641153,0.0294237586,-0.053740998,147.154986,0.0264019109,0.937468377,-0.00314091939,-0.171051538,-0.126601992,-0.00044452733,0.0061995681,-0.0483178635,0.931394207,1260,1396,1192,1464,1518,1465,1585,1430,-0.0875,-0.0875,-0.0878921843,-0.0134842157,0.02,0.175,0.175,0.174669567,0.0736640379,0.02,-0.045,-0.045,-0.0445019928,0,0.02,0.2125,0.2125,0.213547897,0.100385887,0.02,0.26,0.26,0.682938476,32.3828228,1,-0.09,-0.09,-0.52370049,-16.6114514,1,0.6,0.6,0.213844294,5.02984183,1,-0.77,-0.77,-0.432563163,-12.0911229,1
299128.998,41.9,0.273050526,-0.0731749164,0.00623972941,0.0380590076,-0.0127145676,-0.742402447,0.385767837,0.0053859476,150.09763,-147.154539,2.94309079,0,46.9449304,-16.1079588,-0.160412272,1.22062362,3.4992374,-5.63515055,11.2501808,-48.2905843,-2.1843654,3.51138961,1.03615515,-5.66445334,1.91042277,1.29967157,148.682955,-4.2045549,-1.49518413,-11.3484372,0.0784215101,-0.272420686,-0.0053859476,0.0380590076,-0.0127145676,-0.742402447,0,0,0,0,0,0,11.2501811,-48.2905856,-2.18436546,0.492543899,1.37662078,-5.56427569,-15.5734875,44.9804085,0.654159223,-0.248788509,3.00434595,17.7105616,-15.5734875,44.9804085,0.654159223,-0.248788509,3.00434595,17.7105616,0.0241231347,-0.050519192,147.155158,0.0282547857,0.934094714,-0.00338629517,-0.159585477,-0.128957158,0.000107188549,-0.00395743944,-0.00856713828,0.852882601,1260,1396,1192,1464,1518,1465,1585,1430,-0.0875,-0.0875,-0.0877316937,-0.0134271039,0.02,0.175,0.175,0.174846887,0.0737586892,0.02,-0.045,-0.045,-0.0447692387,0,0.02,0.2125,0.2125,0.213119074,0.100080687,0.02,0.26,0.26,0.672496088,31.7266886,1,-0.09,-0.09,-0.512992387,-16.1645532,1,0.6,0.6,0.231003881,5.6404785,1,-0.77,-0.77,-0.447557831,-12.8584369,1
299129.051,41.95,0.276959157,-0.073149266,0.00635918192,0.0373680395,-0.012735059,-0.701038674,0.386036082,0.00533085897,150.09763,-147.154539,2.94309079,0,46.9017942,-15.99927,-0.160309566,1.21238976,3.49602147,-5.14554843,9.57349339,-48.5740092,-2.16667652,3.5507522,0.894452958,-5.17308771,1.9380005,1.20706668,148.695705,-4.21288214,-1.31741487,-10.4627068,0.0707008109,-0.278341451,-0.00533085897,0.0373680395,-0.012735059,-0.701038674,0,0,0,0,0,0,9.57349365,-48.5740106,-2.16667658,0.489222767,1.37535505,-5.07515179,-13.8819363,45.6447088,0.644874164,-0.203997775,2.9732715,16.3509305,-13.8819363,45.6447088,0.644874164,-0.203997775,2.9732715,16.3509305,0.0199141622,-0.0465598212,147.155231,0.031070257,0.930276448,-0.00363932523,-0.154923539,-0.109730429,0.0011813968,-0.0328102097,0.00163575851,0.872197527,1260,1396,1192,1464,1518,1465,1585,1430,-0.0875,-0.0875,-0.0876368794,-0.0133933635,0.02,0.175,0.175,0.174929052,0.0738025477,0.02,-0.045,-0.045,-0.0448930723,0,0.02,0.2125,0.2125,0.212865735,0.0999003819,0.02,0.26,0.26,0.662311524,30.9325473,1,-0.09,-0.09,-0.502548668,-15.6603251,1,0.6,0.6,0.247400948,6.19105931,1,-0.77,-0.77,-0.461886182,-13.5452217,1
299129.103,42,0.280033645,-0.0730815213,0.00651339246,0.0362887449,-0.0127648602,-0.660061279,0.386299728,0.00520852763,150.09763,-147.154539,2.94309079,0,46.6651302,-16.0441561,-0.160243301,1.21573078,3.47824176,-4.67555405,7.76542812,-48.6844996,-2.14304157,3.57483659,0.742742298,-4.70168587,1.98395882,1.11711372,148.694361,-4.21543253,-1.14368577,-9.60291102,0.0628991698,-0.283163486,-0.00520852763,0.0362887449,-0.0127648602,-0.660061279,0,0,0,0,0,0,7.76542834,-48.6845009,-2.14304162,0.490534939,1.36827284,-4.60495989,-12.222161,46.0961191,0.638890201,-0.150292471,2.94112504,15.0256609,-12.222161,46.0961191,0.638890201,-0.150292471,2.94112504,15.0256609,0.0161703519,-0.0424555282,147.155263,0.0342029584,0.926403657,-0.00392156391,-0.162120318,-0.0938362792,0.00246601553,-0.0163747596,0.00357294441,0.878675866,1260,1396,1192,1464,1518,1465,1585,1430,-0.0875,-0.0875,-0.0875808653,-0.0133734305,0.02,0.175,0.175,0.174967125,0.0738228704,0.02,-0.045,-0.045,-0.044950453,0,0.02,0.2125,0.2125,0.212716068,0.0997938617,0.02,0.26,0.26,0.652378417,30.1608444,1,-0.09,-0.09,-0.492362805,-15.048674,1,0.6,0.6,0.263069379,6.6036244,1,-0.77,-0.77,-0.475577825,-14.1813173,1
299129.154,42.05,0.282886663,-0.073335336,0.00666612105,0.035271431,-0.0122805095,-0.617830289,0.38655695,0.00508858762,150.09763,-147.154539,2.94309079,0,46.7430715,-16.0024226,-0.160201565,1.2125727,3.48411366,-4.22195656,6.27970313,-48.9594984,-2.13325323,3.60923962,0.6152317,-4.24607784,2.00380085,1.0541255,148.696397,-4.21379159,-0.973652353,-8.77741852,0.0550775234,-0.287621414,-0.00508858762,0.035271431,-0.0122805095,-0.617830289,0,0,0,0,0,0,6.2797033,-48.9594997,-2.13325328,0.48926321,1.37062199,-4.15154601,-10.6230404,46.5419046,0.621952871,-0.0983419179,2.90377608,13.7170437,-10.6230404,46.5419046,0.621952871,-0.0983419179,2.90377608,13.7170437,0.0130911684,-0.038185937,147.155286,0.0378275052,0.922648494,-0.00422693497,-0.151835211,-0.0877912399,0.00198306147,-0.0403896927,0.0183865286,0.847062304,1260,1396,1192,1464,1518,1465,1585,1430,-0.0875,-0.0875,-0.0875477734,-0.0133616545,0.02,0.175,0.175,0.174984767,0.0738322873,0.02,-0.045,-0.045,-0.0449770414,0,0.02,0.2125,0.2125,0.212627648,0.099730932,0.02,0.26,0.26,0.642690559,29.5257934,1,-0.09,-0.09,-0.482428432,-14.5647304,1,0.6,0.6,0.278041553,7.17219092,1,-0.77,-0.77,-0.488661052,-14.8419709,1
299129.208,42.1,0.285603631,-0.0734430114,0.00681232246,0.0333490599,-0.0112584914,-0.585531207,0.386808498,0.00498394239,150.09763,-147.154539,2.94309079,0,46.7531011,-15.9468277,-0.185279991,1.20485429,3.47197151,-4.13252761,4.86549538,-49.1111074,-2.14806563,3.6154591,0.504675766,-4.15425111,2.02277969,0.970953559,148.701254,-4.21475358,-0.795693527,-8.3968517,0.0476937125,-0.29161098,-0.00498394239,0.0333490599,-0.0112584914,-0.585531207,0,0,0,0,0,0,4.86549552,-49.1111087,-2.14806569,0.484057696,1.35791615,-4.06236168,-9.18212788,47.044187,0.625670929,-0.0382874088,2.88094929,12.7523023,-9.18212788,47.044187,0.625670929,-0.0382874088,2.88094929,12.7523023,0.0108477719,-0.0345432108,147.155211,0.0416083219,0.919101612,-0.00452249032,-0.150067457,-0.0709390193,0.00159560277,-0.0609228668,0.0189187094,0.294827398,1448,1219,1386,1282,1568,1436,1615,1379,-0.16,-0.16,-0.11432669,-0.025944983,0.02,0.3025,0.3025,0.22212801,0.106492481,0.02,-0.17,-0.17,-0.0912002134,-0.0146614024,0.02,0.2875,0.2875,0.240291695,0.119393895,0.02,0.7025,0.7025,0.640594295,29.3952485,1,-0.545,-0.545,-0.480312194,-14.4705955,1,0.13,0.13,0.281552032,7.31272931,1,-0.285,-0.285,-0.490622498,-14.9402963,1
299129.261,42.15,0.28727174,-0.0732908413,0.00692636403,0.030401572,-0.0101600817,-0.5814587,0.387055173,0.00487802663,150.09763,-147.154539,2.94309079,0,46.6912099,-15.9159573,-0.19223461,1.19770328,3.45506084,-4.26511549,3.43793137,-49.1630907,-2.143566,3.61132409,0.403726931,-4.28468103,2.05440969,0.864422527,148.699258,-4.21652858,-0.613856052,-8.48521805,0.0401257044,-0.294346049,-0.00487802663,0.030401572,-0.0101600817,-0.5814587,0,0,0,0,0,0,3.43793146,-49.163092,-2.14356605,0.478302024,1.34377236,-4.1950854,-7.89838622,47.6017087,0.639617763,0.0153692453,2.88352872,12.6473911,-7.89838622,47.6017087,0.639617763,0.0153692453,2.88352872,12.6473911,0.00964880427,-0.0332105439,147.155021,0.0447486867,0.91603175,-0.00475737614,-0.158856463,-0.0458000112,0.00248858531,-0.064191834,0.0264463348,-0.0695837644,1448,1219,1386,1282,1568,1436,1615,1379,-0.16,-0.16,-0.138836387,-0.0393093213,0.02,0.3025,0.3025,0.265258082,0.13363022,0.02,-0.17,-0.17,-0.133486593,-0.035977734,0.02,0.2875,0.2875,0.265625117,0.133891445,0.02,0.7025,0.7025,0.643345197,29.566561,1,-0.545,-0.545,-0.483186724,-14.5984609,1,0.13,0.13,0.277810199,7.16292891,1,-0.285,-0.285,-0.48554566,-14.7033915,1
299129.313,42.2,0.287982764,-0.0729965898,0.00703691762,0.0276801395,-0.00865391642,-0.587842958,0.38729568,0.00475018273,150.09763,-147.154539,2.94309079,0,46.6343079,-15.8928811,-0.197840576,1.19328403,3.4437731,-4.39118503,2.0003035,-49.1813314,-2.13937246,3.61014024,0.302333253,-4.40925027,2.0816772,0.770941257,148.682866,-4.21572315,-0.445347374,-8.66486189,0.0321461851,-0.295984032,-0.00475018273,0.0276801395,-0.00865391642,-0.587842958,0,0,0,0,0,0,2.00030356,-49.1813327,-2.13937251,0.474925813,1.33503192,-4.32125647,-6.60656522,47.996063,0.654991243,0.0553532348,2.88351053,12.8444437,-6.60656522,47.996063,0.654991243,0.0553532348,2.88351053,12.8444437,0.00901973497,-0.0328402406,147.154832,0.0469880767,0.913653609,-0.00490030926,-0.167338377,-0.0276009347,0.00253799279,-0.0529394788,0.0327190002,-0.192572564,1448,1219,1386,1282,1568,1436,1615,1379,-0.16,-0.16,-0.15019343,-0.0463647173,0.02,0.3025,0.3025,0.285243236,0.149210056,0.02,-0.17,-0.17,-0.153080805,-0.0479059584,0.02,0.2875,0.2875,0.277363849,0.142901195,0.02,0.7025,0.7025,0.645973857,29.7302609,1,-0.545,-0.545,-0.485933518,-14.7206443,1,0.13,0.13,0.274160752,7.01682709,1,-0.285,-0.285,-0.48059417,-14.4831384,1
299129.367,42.25,0.288032423,-0.0725944963,0.00711167232,0.0255211721,-0.00704397381,-0.598253217,0.387530368,0.0046477252,150.09763,-147.154539,2.94309079,0,46.5215357,-15.8165116,-0.201362124,1.18639436,3.43219468,-4.52773515,0.574800272,-49.0874459,-2.13263285,3.60444528,0.202595124,-4.54475598,2.09866013,0.679571527,148.664709,-4.21479212,-0.289662259,-8.89590618,0.0238184549,-0.29677504,-0.0046477252,0.0255211721,-0.00704397381,-0.598253217,0,0,0,0,0,0,0.574800288,-49.0874473,-2.1326329,0.471488047,1.32853532,-4.45814262,-5.2717657,48.2383992,0.651544247,0.0792022208,2.87559246,13.1546129,-5.2717657,48.2383992,0.651544247,0.0792022208,2.87559246,13.1546129,0.00863875718,-0.0330164704,147.154676,0.0483779914,0.912029103,-0.00496496555,-0.173020103,-0.0114659955,0.00158545182,-0.0447986441,0.0288010899,-0.257918565,1448,1219,1386,1282,1568,1436,1615,1379,-0.16,-0.16,-0.155455936,-0.0491737701,0.02,0.3025,0.3025,0.294503744,0.15622408,0.02,-0.17,-0.17,-0.162160163,-0.0529445716,0.02,0.2875,0.2875,0.282803218,0.147256385,0.02,0.7025,0.7025,0.648485707,29.8866865,1,-0.545,-0.545,-0.488558253,-14.8373982,1,0.13,0.13,0.270601411,6.87433255,1,-0.285,-0.285,-0.475764933,-14.1929694,1
299129.42,42.3,0.287649906,-0.0720743014,0.00715174929,0.0239379008,-0.00568729661,-0.610535109,0.387760808,0.00457575948,150.09763,-147.154539,2.94309079,0,46.4312458,-15.7200989,-0.202512579,1.17859193,3.42395831,-4.66540371,-0.845765633,-48.9672002,-2.12628645,3.59841962,0.103499709,-4.68179722,2.10906722,0.601013652,148.647009,-4.21439656,-0.145003831,-9.14224448,0.0152455074,-0.29689206,-0.00457575948,0.0239379008,-0.00568729661,-0.610535109,0,0,0,0,0,0,-0.845765657,-48.9672016,-2.1262865,0.468043474,1.32437498,-4.5962354,-3.91311225,48.3514763,0.665607892,0.0965428138,2.86903819,13.5214504,-3.91311225,48.3514763,0.665607892,0.0965428138,2.86903819,13.5214504,0.00827492866,-0.0336167705,147.154554,0.0489801359,0.911114166,-0.00496868129,-0.177186618,-0.00125993564,0.00196743973,-0.0245405371,0.0241178383,-0.279448676,1448,1219,1386,1282,1568,1436,1615,1379,-0.16,-0.16,-0.15789442,-0.0504753991,0.02,0.3025,0.3025,0.29879478,0.159278074,0.02,-0.17,-0.17,-0.16636726,-0.055564543,0.02,0.2875,0.2875,0.285323655,0.149274447,0.02,0.7025,0.7025,0.650885938,30.0479836,1,-0.545,-0.545,-0.491066353,-14.9679375,1,0.13,0.13,0.267129949,6.74812281,1,-0.285,-0.285,-0.47105493,-13.8996538,1
299129.471,42.35,0.287194006,-0.071552351,0.00718089795,0.0231105677,-0.00454051647,-0.623023139,0.387988036,0.00452381684,150.09763,-147.154539,2.94309079,0,46.4387271,-15.6868976,-0.203185003,1.17580664,3.42382739,-4.78813915,-2.32329988,-48.9158433,-2.12555164,3.59848389,-0.000305803989,-4.80440478,2.12112388,0.535445342,148.632189,-4.21455915,-0.00862955091,-9.37144314,0.00644559396,-0.296695553,-0.00452381684,0.0231105677,-0.00454051647,-0.623023139,0,0,0,0,0,0,-2.32329995,-48.9158446,-2.12555169,0.466758878,1.32390295,-4.71911693,-2.52723568,48.407241,0.649022316,0.0956734604,2.86156268,13.895267,-2.52723568,48.407241,0.649022316,0.0956734604,2.86156268,13.895267,0.00788890299,-0.0345697118,147.154475,0.0490020415,0.910816064,-0.00492812341,-0.183184063,0.00135037239,3.38793541e-05,-0.01033241,0.0204812596,-0.257196965,1448,1219,1386,1282,1568,1436,1615,1379,-0.16,-0.16,-0.159024339,-0.0510785341,0.02,0.3025,0.3025,0.300783115,0.16083254,0.02,-0.17,-0.17,-0.1683167,-0.0567785576,0.02,0.2875,0.2875,0.286491548,0.150209554,0.02,0.7025,0.7025,0.65317951,30.2214229,1,-0.545,-0.545,-0.493463001,-15.1171888,1,0.13,0.13,0.263744199,6.62763836,1,-0.285,-0.285,-0.466461217,-13.7080277,1
299129.524,42.4,0.28681049,-0.0711689992,0.00718869752,0.0228556805,-0.00363457725,-0.634202166,0.388213815,0.00450771288,150.09763,-147.154539,2.94309079,0,46.4609352,-15.6735957,-0.20359595,1.17464931,3.42515953,-4.90126323,-3.84297618,-48.8367565,-2.12704041,3.59704458,-0.107539155,-4.91768296,2.1374832,0.470719974,148.623418,-4.21529025,0.12342045,-9.58300169,-0.00264104329,-0.296335191,-0.00450771288,0.0228556805,-0.00363457725,-0.634202166,0,0,0,0,0,0,-3.84297629,-48.8367578,-2.12704046,0.466202799,1.32422947,-4.83229954,-1.09689659,48.4538462,0.669963576,0.0887328953,2.85737663,14.2354927,-1.09689659,48.4538462,0.669963576,0.0887328953,2.85737663,14.2354927,0.00738324795,-0.0356760706,147.154432,0.0486513138,0.911039971,-0.0048634805,-0.188349359,0.00534351636,0.000483183245,-0.000695130644,0.0145503139,-0.241356758,1448,1219,1386,1282,1568,1436,1615,1379,-0.16,-0.16,-0.159547908,-0.0513580084,0.02,0.3025,0.3025,0.301704448,0.161652199,0.02,-0.17,-0.17,-0.16922001,-0.0573410947,0.02,0.2875,0.2875,0.287032714,0.150642855,0.02,0.7025,0.7025,0.655371163,30.387155,1,-0.545,-0.545,-0.495753148,-15.2598079,1,0.13,0.13,0.260442043,6.51012868,1,-0.285,-0.285,-0.461980924,-13.5485932,1
299129.578,42.45,0.286472961,-0.070836955,0.00718375592,0.0228628646,-0.00303394121,-0.644610727,0.388439181,0.00451388019,150.09763,-147.154539,2.94309079,0,46.4819679,-15.61154,-0.20378637,1.16990996,3.42658461,-5.00952506,-5.33876557,-48.6959823,-2.12930383,3.59145078,-0.213121695,-5.02608926,2.14341808,0.398876966,148.618975,-4.21559549,0.254331087,-9.78614985,-0.0119088865,-0.295734492,-0.00451388019,0.0228628646,-0.00303394121,-0.644610727,0,0,0,0,0,0,-5.33876572,-48.6959836,-2.12930388,0.464268369,1.32470304,-4.94083442,0.376587872,48.4685686,0.662980238,0.0799235854,2.85710543,14.5568975,0.376587872,48.4685686,0.662980238,0.0799235854,2.85710543,14.5568975,0.00669089621,-0.0368623452,147.154404,0.0480805862,0.911587713,-0.00478768869,-0.189267653,0.0117714394,-0.000176398479,-0.000341167386,0.00786312753,-0.23088996,1448,1219,1386,1282,1568,1436,1615,1379,-0.16,-0.16,-0.159790515,-0.0514875082,0.02,0.3025,0.3025,0.302131366,0.162032003,0.02,-0.17,-0.17,-0.169638577,-0.0576017572,0.02,0.2875,0.2875,0.287283474,0.150843633,0.02,0.7025,0.7025,0.657465425,30.5455225,1,-0.545,-0.545,-0.497941529,-15.3960894,1,0.13,0.13,0.257221417,6.43259955,1,-0.285,-0.285,-0.457611249,-13.361218,1
299129.63,42.5,0.286145807,-0.070410665,0.007178855,0.0228829516,-0.00278292156,-0.654920678,0.388665015,0.00452190955,150.09763,-147.154539,2.94309079,0,46.483999,-15.5286146,-0.203874605,1.16364026,3.4266648,-5.11785475,-6.83756525,-48.483474,-2.13121055,3.58086021,-0.318956592,-5.13461142,2.14326865,0.327155674,148.614796,-4.21372029,0.385127086,-9.98919554,-0.0212019578,-0.294811193,-0.00452190955,0.0228829516,-0.00278292156,-0.654920678,0,0,0,0,0,0,-6.83756544,-48.4834753,-2.13121061,0.461746895,1.32469103,-5.04952898,1.86756747,48.426482,0.663495548,0.0668080802,2.85727595,14.8721568,1.86756747,48.426482,0.663495548,0.0668080802,2.85727595,14.8721568,0.00576794864,-0.0380788917,147.154376,0.0472950061,0.9122605,-0.00470238331,-0.189891527,0.0187599112,-0.000406653717,-0.00343998357,-0.000538406967,-0.227698511,1448,1219,1386,1282,1568,1436,1615,1379,-0.16,-0.16,-0.159902931,-0.0515475145,0.02,0.3025,0.3025,0.302329186,0.162207993,0.02,-0.17,-0.17,-0.169832527,-0.0577225402,0.02,0.2875,0.2875,0.287399669,0.150936667,0.02,0.7025,0.7025,0.659466625,30.6968526,1,-0.545,-0.545,-0.500032665,-15.5260244,1,0.13,0.13,0.254080309,6.36273789,1,-0.285,-0.285,-0.453349462,-13.1526871,1
299129.682,42.55,0.285826279,-0.069933894,0.00716678996,0.0230653684,-0.00284591315,-0.665004875,0.388891456,0.00453467053,150.09763,-147.154539,2.94309079,0,46.4758145,-15.4659475,-0.203915491,1.15891207,3.42601571,-5.22205949,-8.37444563,-48.2136782,-2.13268516,3.56634292,-0.427935852,-5.23914451,2.14174844,0.252762764,148.612063,-4.2078895,0.516304534,-10.1914502,-0.0305549359,-0.293567869,-0.00453467053,0.0230653684,-0.00284591315,-0.665004875,0,0,0,0,0,0,-8.37444586,-48.2136795,-2.13268521,0.459851259,1.3244117,-5.15400946,3.37730709,48.3113844,0.657960869,0.0548933885,2.86215706,15.1770938,3.37730709,48.3113844,0.657960869,0.0548933885,2.86215706,15.1770938,0.00462722787,-0.039360876,147.154358,0.0463055968,0.913018876,-0.00461065017,-0.19178097,0.0247367543,-0.0011938015,0.00222161634,-0.00532264564,-0.229196386,1448,1219,1386,1282,1568,1436,1615,1379,-0.16,-0.16,-0.159955021,-0.0515753196,0.02,0.3025,0.3025,0.30242085,0.162289541,0.02,-0.17,-0.17,-0.169922398,-0.0577785074,0.02,0.2875,0.2875,0.287453509,0.150979777,0.02,0.7025,0.7025,0.661378898,30.8537254,1,-0.545,-0.545,-0.502030876,-15.6326861,1,0.13,0.13,0.251016756,6.29460111,1,-0.285,-0.285,-0.449192899,-12.9457146,1
