candidate,status,score,fluid_linear_scale,fluid_rot_scale,fluid_blunt_scale,fluid_slender_scale,fluid_angular_scale,fluid_kutta,fluid_magnus,profile_updates,tune_mode,command_source,out_dir
buoy1020_heavep10_restore_p10,ok,1.0090386224730676,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.02, ""surface_heave_damping"": 13.2, ""heave_damping_scale"": 4.4, ""cob_torque_scale"": 1.98, ""cob_z_offset"": 0.044}",closed-loop,,/Users/kanghyunmin/Desktop/uuv_sim/document/docsource/physics_only_closedloop_buoy_refine_0_120_20260504/buoy1020_heavep10_restore_p10
buoy1025_heavep10,ok,1.0469348821132067,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.025, ""surface_heave_damping"": 13.2, ""heave_damping_scale"": 4.4}",closed-loop,,/Users/kanghyunmin/Desktop/uuv_sim/document/docsource/physics_only_closedloop_buoy_refine_0_120_20260504/buoy1025_heavep10
buoy1030_heavep10,ok,1.0643083146491092,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.03, ""surface_heave_damping"": 13.2, ""heave_damping_scale"": 4.4}",closed-loop,,/Users/kanghyunmin/Desktop/uuv_sim/document/docsource/physics_only_closedloop_buoy_refine_0_120_20260504/buoy1030_heavep10
buoy1040_heavep10,ok,1.0686669707049161,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.04, ""surface_heave_damping"": 13.2, ""heave_damping_scale"": 4.4}",closed-loop,,/Users/kanghyunmin/Desktop/uuv_sim/document/docsource/physics_only_closedloop_buoy_refine_0_120_20260504/buoy1040_heavep10
