bag_time_s,x_m,y_m,z_m
0.131309469,-0.15866145182135397,0.3871134738484509,-0.07663623944215331
0.148644251,-0.1586057000859087,0.38723419507006457,-0.07657401204538715
0.18369321200000002,-0.15878101879669507,0.38722609735014957,-0.07642575303492126
0.214506309,-0.15884791345625596,0.38730620649971775,-0.07603730029267625
0.24742856600000002,-0.1589158622517519,0.38738693302694094,-0.07589523831411837
0.28097718,-0.15896102171491586,0.38731841596050814,-0.07582929025282878
0.314189961,-0.15903867500992355,0.3873162852576372,-0.07501834964761164
0.34754579,-0.15911739725967727,0.3873140870502292,-0.07487621966042786
0.38094989100000004,-0.15915668075707218,0.38722520431855284,-0.07480044751343361
0.41411334400000005,-0.15922755890440884,0.3871539484717388,-0.0751986866316936
0.44756755000000004,-0.15929779051156293,0.387083295474626,-0.0750687402310725
0.480882326,-0.1593346977873965,0.3870070146739479,-0.0750178411186239
0.514197411,-0.15941070058107623,0.3868897931811363,-0.07475764703601684
0.547657991,-0.1594878939923244,0.386770923274677,-0.07463409905189108
0.5809220190000001,-0.15952681572480115,0.38671103863374506,-0.07457189632700822
0.617734289,-0.1596586573088139,0.3867016590260597,-0.07418688036037663
0.9582982440000001,-0.16070813271053122,0.38652344772086356,-0.07265568736259655
0.98100852,-0.1607710205068709,0.38651516068498104,-0.07268209575555291
1.0149319380000001,-0.16094534175134634,0.3864896111305418,-0.07293392113860289
1.047620103,-0.16111432453417643,0.3864649929779192,-0.07298945798371712
1.0808522580000002,-0.16119323886117595,0.38645340433441616,-0.07301613889977654
1.114430544,-0.16130387818833816,0.38640322881865347,-0.0731790772312209
1.147729421,-0.16142806400518334,0.38635799795510767,-0.07324139897639281
1.1813262340000001,-0.16149065087973896,0.3863351417694841,-0.07327355668048574
1.2142340740000002,-0.16161682374635225,0.38628887394922395,-0.07306927249044447
1.248719039,-0.16182585901882468,0.3861871528827421,-0.07314695763759317
1.281450374,-0.16190566922788252,0.3861517472592034,-0.07318262849995776
1.314381776,-0.16207487712930413,0.38607658457993543,-0.07360812324134194
1.347666645,-0.16258644830695457,0.3862234045486231,-0.0735991128581972
1.381124357,-0.16277604546532745,0.386252390400146,-0.07360822778276249
1.4142796940000002,-0.16315784830569113,0.3863105929190438,-0.07386446991771978
1.4475850140000002,-0.1635630202551403,0.3862515998233904,-0.07389463765939117
1.484222249,-0.16375088524614553,0.3862366218434587,-0.07390857172289714
1.516212644,-0.16414899167997357,0.386204597017119,-0.07349376013455723
1.547430176,-0.16456066964861085,0.3861712932076433,-0.07352638667990784
1.5827959040000001,-0.16468898277954522,0.38605391889740587,-0.07362058698212755
1.6140817010000001,-0.16505170305995887,0.3859504263180359,-0.07333676219576003
1.6475282770000002,-0.1654175730873395,0.38584582177003374,-0.0734333561479472
1.6830798150000001,-0.1655585153081621,0.38584818173479274,-0.07350813928564207
1.716604035,-0.16589672468316244,0.38578344974933626,-0.07327783681075394
1.748108666,-0.166237847764511,0.38571799373787957,-0.07340279077424569
1.7812644830000002,-0.16652109668848053,0.38579986925759563,-0.07345581574123215
1.8141146240000001,-0.16695380725256248,0.3858223611238045,-0.07233072268304937
1.847310559,-0.16740113602154533,0.3858457154698877,-0.07245722955042071
1.8813578560000002,-0.16792024505719494,0.385884704096223,-0.07248825840430692
1.915656516,-0.16820815737352512,0.3859037328161537,-0.07071483453220222
1.9488451930000001,-0.16874835019553724,0.38594044401819344,-0.0707782835424706
1.9807968360000001,-0.16900026964119136,0.38595760317286676,-0.07080810076323273
2.0154196090000003,-0.1693485222826741,0.3857448126567427,-0.07127274821032177
2.047507838,-0.16978064868115947,0.3856224773382428,-0.07129615700318302
2.081397429,-0.16998213468390347,0.3855654715148847,-0.07130710204175571
2.114810132,-0.1704119907473505,0.38558573405344987,-0.07133532497179718
2.148752381,-0.1708442555633705,0.385560011629566,-0.07134834729329198
2.181798718,-0.17106167046802442,0.38554719395782533,-0.07135477374505493
2.2166948250000003,-0.17134148338163313,0.3854127814298379,-0.07143439971701628
