t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,yaw_rad
0.0,-15.438996797675967,1.0869942526344178,-0.6535898732227194,5.224027428750695e-08,-1.9178181900039736e-07,2.615974404748378e-07,-0.00018624342462848008
0.015853572,-15.438996517249228,1.0869946652865543,-0.6535898984006442,5.928272175941545e-08,-1.8956116762046827e-07,2.6338292142831595e-07,-0.00018630402516777014
0.03570074,-15.438996293317869,1.0869952362990833,-0.6535899169828404,6.98387958996098e-08,-1.8560966913095889e-07,2.655403581411307e-07,-0.00018639490720696273
0.081197261,-15.438996456891916,1.086996008388112,-0.6535898956069289,8.683024581207557e-08,-1.778801711918947e-07,2.6771690911225524e-07,-0.00018654613735628937
0.128864253,-15.438997275235563,1.086996487502679,-0.653589810404241,1.0253359571318252e-07,-1.694385618169545e-07,2.682472576751383e-07,-0.00018669686742218928
0.171619913,-15.438998680941834,1.0869966225543912,-0.6535896679904242,1.1666356234853291e-07,-1.6067267334886185e-07,2.675528648362415e-07,-0.00018684712013818016
0.215199082,-15.439000557913111,1.0869963986143796,-0.6535894797404215,1.2741512036950462e-07,-1.520456569836878e-07,2.657364020765556e-07,-0.00018699721660439772
0.25699041300000003,-15.439002751081398,1.086995838472835,-0.6535892608309768,1.326990245450722e-07,-1.446942309677034e-07,2.628831874782124e-07,-0.0001871476675324034
0.299099106,-15.439005079308084,1.08699500013294,-0.6535890289591832,1.3185010341980026e-07,-1.3972554249299684e-07,2.5916713726461733e-07,-0.00018729898250715416
0.33927374400000004,-15.439007350403232,1.0869939705708376,-0.6535888028587069,1.251509282099097e-07,-1.3782668605204907e-07,2.548652861881671e-07,-0.0001874514640086635
0.382576687,-15.43900937699317,1.0869928565213374,-0.653588600744226,1.1363140751966659e-07,-1.3916249561092122e-07,2.503622670756251e-07,-0.00018760506622954027
0.418012243,-15.43901099192012,1.0869917733239485,-0.6535884388167138,9.874174875244774e-08,-1.434210352601252e-07,2.461011913387074e-07,-0.0001877593728882134
0.461195642,-15.43901206192415,1.0869908330132554,-0.653588329950654,8.199667166948318e-08,-1.4996390818585913e-07,2.4249784037763064e-07,-0.00018791370592473585
0.48374727300000003,-15.439012403445776,1.0869903788024966,-0.6535882938479939,7.161228833032924e-08,-1.5466081987325679e-07,2.407907243020257e-07,-0.0001880060077920434
0.500298295,-15.43901249851855,1.0869901328579143,-0.6535882826635284,6.468872857347301e-08,-1.580029183870851e-07,2.3987710421545276e-07,-0.0001880673300033263
0.5479055780000001,-15.439012265217345,1.086989745499817,-0.6535883004397277,4.771669869666639e-08,-1.6672912117781876e-07,2.384529576548936e-07,-0.00018821967736168404
0.598251306,-15.439011380732497,1.0869897115657734,-0.653588381438724,3.1612742776503125e-08,-1.7559662432758027e-07,2.3817909760424465e-07,-0.00018837049777528653
0.653412306,-15.43900991773609,1.0869900347473913,-0.6535885186180068,1.824555558759872e-08,-1.8395230599741634e-07,2.3899501481159926e-07,-0.00018851994440621925
0.691180287,-15.439007996831537,1.0869906811290497,-0.6535887003007573,9.503501201742807e-09,-1.9062206146372368e-07,2.4082557268220044e-07,-0.00018866851745544684
0.7340146900000001,-15.439005776494328,1.0869915828422163,-0.6535889111328412,6.360309535074184e-09,-1.9467304462537526e-07,2.433806550438873e-07,-0.00018881688507864494
0.782282503,-15.439003439881919,1.086992645348193,-0.6535891333434796,8.940715184621618e-09,-1.9563114894348228e-07,2.4621139204539975e-07,-0.0001889656572025921
0.831040475,-15.439001179646347,1.0869937574756992,-0.6535893482058374,1.6637769453045146e-08,-1.9350922662428198e-07,2.488273289511806e-07,-0.0001891151940827991
0.86760055,-15.438999182032154,1.0869948030837269,-0.6535895375787221,2.8376677401029022e-08,-1.8871516894238197e-07,2.508267554456701e-07,-0.00018926551582859488
0.979614273,-15.43899761157479,1.086995673098318,-0.6535896854032578,4.293093014109168e-08,-1.8189011667378336e-07,2.520054784574891e-07,-0.00018941634091554306
1.0315057170000002,-15.43899659763907,1.0869962766932355,-0.6535897790310644,5.9181737392786865e-08,-1.737443473445247e-07,2.5240835677635804e-07,-0.00018956723430486766
1.081279641,-15.43899624512498,1.0869965240757367,-0.6535898092394742,7.280030466689e-08,-1.6672967569011265e-07,2.5234851647939584e-07,-0.0001896877300446468
1.1067644490000002,-15.43899622386674,1.0869965505245376,-0.6535898102734234,7.624231072247891e-08,-1.649480740559271e-07,2.5230638428359883e-07,-0.0001897178064092135
1.1594709440000002,-15.438996521342228,1.0869964651674162,-0.6535897760849143,9.333311123199126e-08,-1.561255086762724e-07,2.520901707991988e-07,-0.00018986787849026591
1.1989637130000002,-15.438997465817534,1.086996028468422,-0.6535896788442489,1.0878145557528381e-07,-1.482450274114334e-07,2.5202915062080675e-07,-0.00019001753617801798
1.245307313,-15.438998979435963,1.0869952852740468,-0.6535895261840906,1.2068825591671398e-07,-1.4242118511259144e-07,2.522761714261552e-07,-0.00019016712073942056
1.289557325,-15.439000937186506,1.0869943127283568,-0.6535893303433951,1.277806238590448e-07,-1.3939742308917524e-07,2.528777193652893e-07,-0.000190317091965846
1.337616372,-15.439003177328713,1.0869932120209227,-0.6535891071259551,1.2956157048056621e-07,-1.3944360965231532e-07,2.53771388617575e-07,-0.00019046782552409756
1.374752859,-15.439005514849322,1.0869920976296765,-0.6535888745666278,1.2625379979996904e-07,-1.423885300662906e-07,2.54808033706889e-07,-0.00019061943361138974
1.413901152,-15.439007756797583,1.0869910852705174,-0.6535886514262859,1.1857888986357626e-07,-1.4774960753404404e-07,2.557885775960064e-07,-0.00019077167887432064
1.461032275,-15.439009718207314,1.0869902798588131,-0.6535884556459566,1.0746645572955289e-07,-1.548979091415956e-07,2.5650497031976487e-07,-0.0001909240175448708
1.502310972,-15.439011237290615,1.0869897647270454,-0.6535883028871454,9.38027120169908e-08,-1.6319242045039737e-07,2.567759036313065e-07,-0.00019107576043038955
1.55989993,-15.439012249111633,1.0869895959064753,-0.6535881988791716,7.666878482161097e-08,-1.7293258794362008e-07,2.564020521420824e-07,-0.00019124126871697584
1.5998409580000001,-15.439012487099816,1.086989821447782,-0.6535881705223264,5.967300834414778e-08,-1.815034449851186e-07,2.553772471449893e-07,-0.00019139012093461721
1.599855682,-15.439012487099816,1.086989821447782,-0.6535881705223264,5.967300834414778e-08,-1.815034449851186e-07,2.553772471449893e-07,-0.00019139012093461721
1.646129707,-15.439012053485685,1.0869903849402092,-0.6535882073752314,4.3121661504854495e-08,-1.8848326349428685e-07,2.538577642009539e-07,-0.00019153754422363903
1.695109315,-15.439010983552677,1.0869912275376028,-0.653588306052927,2.907069029175026e-08,-1.9297480439911697e-07,2.5202843529496144e-07,-0.00019168400467314963
1.734296279,-15.43900936532944,1.0869922608566007,-0.6535884580689929,1.8961577992572228e-08,-1.9451031354402722e-07,2.4998668673314606e-07,-0.00019183020272291277
1.7751182520000002,-15.439007332265376,1.0869933764355821,-0.6535886505257673,1.3514716647598872e-08,-1.9307948866427071e-07,2.477274649781399e-07,-0.00019197685237516774
1.8102392440000001,-15.439005052101747,1.0869944572691967,-0.6535888671722647,1.2772331201237864e-08,-1.8903371690999868e-07,2.4519917337518315e-07,-0.0001921244590038269
1.8499111300000002,-15.439002712920171,1.0869953901515619,-0.6535890897417179,1.6304600323383727e-08,-1.8292189693077996e-07,2.4240848843948625e-07,-0.00019227317749728816
1.8893453400000002,-15.439000507561914,1.086996077485173,-0.6535892994587088,2.3490096483510535e-08,-1.753368023157079e-07,2.395107685460984e-07,-0.0001924227976543367
1.928529941,-15.438998617726995,1.0869964473270939,-0.6535894785907165,3.376708616368683e-08,-1.6683067027130975e-07,2.3686514026219317e-07,-0.0001925728571101318
1.9746819580000001,-15.438997199061426,1.0869964606848228,-0.6535896119146679,4.683209589786118e-08,-1.579454812356927e-07,2.350046134829582e-07,-0.00019272283638516015
2.0142118310000003,-15.438996368427835,1.0869961154025338,-0.6535896879765901,6.29612541026552e-08,-1.4966581367809368e-07,2.344828661087994e-07,-0.00019287236133104892
2.0527689110000003,-15.438996194396685,1.0869954463395,-0.6535897000427672,8.02904927258611e-08,-1.434564521435901e-07,2.3547331011719097e-07,-0.0001930213391601067
2.059720351,-15.438996240653832,1.0869952791743631,-0.65358969455298,8.368532796445963e-08,-1.4254724002527722e-07,2.358543166438606e-07,-0.0001930510823756466
2.088310119,-15.438996691630104,1.0869945221317976,-0.6535896466656113,9.648690992233527e-08,-1.4012545861647893e-07,2.3800400930316844e-07,-0.00019316996432291417
2.123717495,-15.438997819354062,1.0869934387574653,-0.6535895318283379,1.0982335896521876e-07,-1.3984461374847282e-07,2.420352872383577e-07,-0.00019331860638242278
2.169487316,-15.438999297444672,1.086992420808262,-0.6535893833466274,1.1853810199775702e-07,-1.420200115053045e-07,2.4673223367228093e-07,-0.00019345272274752957
2.2060996640000003,-15.439001329758208,1.0869913504012234,-0.6535891803888717,1.2425690134944192e-07,-1.4671078112900314e-07,2.527561366458424e-07,-0.00019360232851858844
2.251609615,-15.43900360951249,1.0869904513804671,-0.6535889533494877,1.2593290649805074e-07,-1.532449338141714e-07,2.591427698417994e-07,-0.0001937524933664364
2.2945750460000003,-15.439005948425336,1.0869898171586003,-0.6535887205519996,1.2390010712725125e-07,-1.6107694765297415e-07,2.6525716028533644e-07,-0.00019390284343431382
2.340408632,-15.439008153440579,1.086989513411672,-0.6535885007597948,1.1839710482783184e-07,-1.6972611682362915e-07,2.703566864808075e-07,-0.0001940527871587628
2.390075512,-15.439010042651367,1.0869895714040385,-0.6535883116387655,1.0924303854415202e-07,-1.7865112305655366e-07,2.7371056742328743e-07,-0.00019420171287465714
2.431551152,-15.439011460248441,1.0869899849061637,-0.6535881683227605,9.541933151501613e-08,-1.8673880363862162e-07,2.7468935189625224e-07,-0.00019434920892307718
2.471904142,-15.439012289231613,1.0869907109369457,-0.6535880821903056,7.858836610763823e-08,-1.925201048042467e-07,2.7310464340288247e-07,-0.00019449522971255466
2.513522136,-15.43901246091842,1.0869916742198031,-0.6535880599408999,6.114743966958478e-08,-1.9508280809346272e-07,2.693577094329483e-07,-0.00019464014747905427
2.539044278,-15.439012239986699,1.0869923251443838,-0.6535880780931383,5.1277755780953176e-08,-1.9503223483924702e-07,2.662137251864604e-07,-0.00019472684761506304
2.5578463620000003,-15.439011960600174,1.086992774508457,-0.6535881030484249,4.516315584239657e-08,-1.9438503643429997e-07,2.637994489988938e-07,-0.0001947846489338045
2.6279846740000004,-15.43901082907508,1.0869938963596777,-0.6535882076097153,3.200299067064122e-08,-1.9091319703625463e-07,2.568971919193762e-07,-0.00019492952628948274
2.67587783,-15.439009159475301,1.0869949218273025,-0.6535883646392794,2.228865472201752e-08,-1.8531904204261223e-07,2.4923787306052637e-07,-0.00019507546060192754
2.7115540410000003,-15.439007089511165,1.0869957431023989,-0.65358856080692,1.608726940904443e-08,-1.7819309740509173e-07,2.4132669844670415e-07,-0.00019522282169473626
2.767706796,-15.439004789984976,1.0869962738742738,-0.6535887795404175,1.3291173658972115e-08,-1.7001828064331344e-07,2.3363550953979393e-07,-0.00019537157246896412
2.814374808,-15.439002450581473,1.0869964583041511,-0.6535890023936447,1.3990544572737487e-08,-1.6119901607478207e-07,2.268149088948361e-07,-0.00019552131122991287
2.8549265640000003,-15.439000264149602,1.0869962767090122,-0.653589210567926,1.9216500567635803e-08,-1.5233218348899518e-07,2.216454892639912e-07,-0.00019567143331547193
2.901314279,-15.438998410781291,1.0869957474487006,-0.6535893864625253,3.024522883494352e-08,-1.4467322598054507e-07,2.1886369520402668e-07,-0.0001958213497353018
2.948344896,-15.43899704308151,1.0869949248871786,-0.6535895151271411,4.561035381565736e-08,-1.3958024644578537e-07,2.189676030163807e-07,-0.0001959706883033081
2.994175492,-15.438996273723024,1.0869938936857446,-0.653589585497974,6.314265884022516e-08,-1.3790587427173866e-07,2.219053963842635e-07,-0.00019611939877340373
3.04714375,-15.438996166269161,1.0869927600934552,-0.6535895913120562,8.065943022976031e-08,-1.3966092892800443e-07,2.2748906877286027e-07,-0.00019626773144472613
3.082258242,-15.438996564933145,1.0869918583239977,-0.6535895486651211,9.352318767088517e-08,-1.431155458562574e-07,2.3367147322440142e-07,-0.00019638639229642034
3.0989336890000003,-15.43899672991196,1.0869916415409904,-0.6535895316268145,9.650321189180519e-08,-1.4420538947866456e-07,2.3542040987180215e-07,-0.00019641608228951216
3.148298113,-15.43899791837591,1.0869906548056183,-0.6535894109305329,1.097488911102926e-07,-1.506653924661957e-07,2.4507293965620127e-07,-0.00019656478879314081
3.1878455750000003,-15.438999633577232,1.0869899029953758,-0.6535892387834106,1.2013193781696967e-07,-1.5837050172268382e-07,2.556201379608312e-07,-0.00019671397418398072
3.226521802,-15.439001733797543,1.0869894645274476,-0.65358902900908,1.2759566775185618e-07,-1.669025963094801e-07,2.6631653498219865e-07,-0.00019686345793091606
3.266319239,-15.439004045505245,1.086989384921238,-0.6535887985319829,1.3188197405603766e-07,-1.759104524677639e-07,2.7620733317876056e-07,-0.00019701278977708668
3.321809334,-15.439006377803294,1.0869896721460346,-0.6535885659670766,1.3053477355082557e-07,-1.8464965029601083e-07,2.841286088861181e-07,-0.0001971614017832387
3.3656049830000003,-15.439008538246915,1.0869902959368496,-0.6535883500789303,1.2295831449263834e-07,-1.9178581369624065e-07,2.889653193792373e-07,-0.00019730881983643178
3.419758497,-15.439010348656241,1.0869911911026857,-0.6535881682372806,1.1007591596017959e-07,-1.961117068626983e-07,2.8993324155961646e-07,-0.00019745486602593224
3.4662993490000003,-15.439011659711054,1.0869922644111971,-0.6535880349959742,9.369531983743016e-08,-1.9695022050221582e-07,2.868832668337205e-07,-0.00019759976907777254
3.5173108560000004,-15.439012363139875,1.0869934042631955,-0.6535879609082921,7.590820944935218e-08,-1.9431246921519879e-07,2.80245114092279e-07,-0.00019774414076219728
3.5616445810000004,-15.439012400547025,1.0869944921182921,-0.6535879516782236,5.8524315730857574e-08,-1.8887856485643775e-07,2.7065629432134997e-07,-0.00019788881966840722
3.6062939980000004,-15.439011768278636,1.0869954141510794,-0.6535880076953222,4.275723655104592e-08,-1.816287910105369e-07,2.590836175999693e-07,-0.00019803461461831467
3.606345516,-15.439011768278636,1.0869954141510794,-0.6535880076953222,4.275723655104592e-08,-1.816287910105369e-07,2.590836175999693e-07,-0.00019803461461831467
3.6405158350000004,-15.439010518075785,1.0869960730736248,-0.6535881239708453,2.911224900073889e-08,-1.734028808990114e-07,2.467633724962019e-07,-0.00019818206470319954
3.6815945450000003,-15.439008752926497,1.08699639913708,-0.6535882905371937,1.7735596951042744e-08,-1.6459208447359934e-07,2.346975915985966e-07,-0.00019833130140372
3.7336296460000002,-15.439006618467687,1.0869963575641184,-0.6535884932751365,9.363932318569732e-09,-1.5551490785152533e-07,2.2380430772152142e-07,-0.000198482023851962
3.7932774100000004,-15.439004290806055,1.0869959521333237,-0.6535887150753459,6.727063183694329e-09,-1.4707377857531886e-07,2.1505967373257484e-07,-0.00019863361111483534
3.845922668,-15.439001961881928,1.0869952246556982,-0.6535889372452807,1.0488372478275128e-08,-1.405821657411631e-07,2.0932092439725063e-07,-0.00019878533650080063
3.8868067830000004,-15.438999823616717,1.0869942504356795,-0.6535891410458979,2.0125629239197692e-08,-1.3706595919082255e-07,2.0725264239586255e-07,-0.00019893660092544047
3.9268963500000003,-15.438998052124592,1.0869931302868834,-0.6535893092332574,3.426775772607578e-08,-1.370052815071487e-07,2.0914541667307664e-07,-0.0001990871055846404
3.9709117650000003,-15.438996793288847,1.086991980015256,-0.653589427481558,5.11183249898767e-08,-1.4029072638163144e-07,2.1480614159185705e-07,-0.00019923690629037138
4.028534120000001,-15.4389961508555,1.0869909184846678,-0.653589485567417,6.890791255563438e-08,-1.463052268802764e-07,2.2374130409202132e-07,-0.00019938633577219083
4.069665166,-15.438996177975856,1.0869900554974694,-0.6535894782174092,8.625605412542847e-08,-1.5411268824322128e-07,2.3523045941066478e-07,-0.000199535826500951
4.121631317,-15.438996872744546,1.086989480931807,-0.6535894055633054,1.0235895146012743e-07,-1.62788384310581e-07,2.482281278025074e-07,-0.00019968568256059036
4.131059477,-15.438997087721939,1.0869894065485197,-0.6535893835937889,1.0540538033870781e-07,-1.6457545829473393e-07,2.509052367423876e-07,-0.0001997157054257585
4.161368494,-15.43899817799726,1.0869892550542308,-0.6535892731714645,1.169288233820104e-07,-1.7184405913889555e-07,2.6166247913762615e-07,-0.00019983593122869852
4.220540627,-15.43899998594973,1.086989401520817,-0.6535890915818275,1.287387203054136e-07,-1.809204813710623e-07,2.7464522943852684e-07,-0.00019998630435824632
4.265456429,-15.439002147228102,1.0869899048567708,-0.6535888754177213,1.352305401325753e-07,-1.8893056662599705e-07,2.8601014513551754e-07,-0.000200136326702826
4.301180661,-15.439004483310764,1.0869907121788964,-0.6535886421546049,1.3553428799212835e-07,-1.9464842748644252e-07,2.945267348262374e-07,-0.00020028550250075514
4.344257679,-15.439006801340208,1.0869917389059545,-0.6535884106551714,1.2976629960191447e-07,-1.9725126754834813e-07,2.990785687568831e-07,-0.0002004335304488273
4.416764607,-15.439008910059991,1.086992877747163,-0.6535881996013148,1.1886646833561951e-07,-1.964643131873061e-07,2.9890015954472806e-07,-0.00020058046498742715
4.467739945,-15.439010635546495,1.086994009943606,-0.6535880259556531,1.0427472443744693e-07,-1.9253868361945872e-07,2.938120294855633e-07,-0.00020072676105908574
4.518896119,-15.43901183545344,1.0869950175568854,-0.6535879035796287,8.755684379432882e-08,-1.8610506212563738e-07,2.8427756181307094e-07,-0.00020087318023588718
4.566529774,-15.43901241063172,1.086995795551125,-0.6535878421162493,7.008503323699656e-08,-1.779803112061618e-07,2.713724602805562e-07,-0.00020102058560548733
