t_s,forward_m,lateral_m,relative_z_m,relative_yaw_rad
0.0,0.0,0.0,0.0,0.0
0.02,-3.415493828000153e-06,-0.00043968902673285464,-0.006593820948033513,5.532598736357475e-05
0.04,-0.00010357584374360893,-0.0008502972749603158,-0.012552242403947478,0.00010357465023888568
0.060000000000000005,-0.00011803091327653025,-0.0012210123379920769,-0.018278102086652065,9.838996383877696e-05
0.082,0.00010986971147770871,-0.0015656603690224567,-0.024772212168381352,3.611784945355134e-05
0.08600000000000001,0.00018214637306789307,-0.0016195972239072553,-0.02600136470989306,2.1053035098667072e-05
0.10200000000000001,0.0005351316926301325,-0.0018112210686431487,-0.031077547917187448,-4.060093923749508e-05
0.12200000000000001,0.001001098780263632,-0.0020074802223184903,-0.03766059210768888,-0.00010340952246783164
0.14,0.0013052682412180243,-0.002155119488915116,-0.04366369584924787,-0.00013492745696092046
0.16,0.0014066247536443201,-0.0022967806409038777,-0.05038880029759529,-0.00014135478444894656
0.18000000000000002,0.001226088822422334,-0.002425088865196314,-0.05725525534701559,-0.00012667171747772488
0.2,0.0008751260747065878,-0.00254544298381802,-0.06424406433266366,-0.00010984856099925666
0.22,0.0005603879912880049,-0.0026488642076385855,-0.07115498875929685,-0.00010416417461484029
0.24200000000000002,0.0004405682336759047,-0.002738667804162017,-0.07862910888953892,-0.00010903133541087517
0.262,0.0006078312716822631,-0.002803880767771011,-0.08539769223434504,-0.0001170659659411738
0.28200000000000003,0.0009489185295261593,-0.0028604704106540454,-0.09207461897115896,-0.00012181110427114672
0.30200000000000005,0.0012563371341235158,-0.002908396012282627,-0.09850361523775306,-0.00012147569153146687
0.312,0.0013384362686789416,-0.0029288750159269126,-0.10163275085984227,-0.00012070957979808117
0.32,0.001356386314569155,-0.0029435133536900096,-0.10409598712585841,-0.00012051042827450342
0.34,0.0012099917777472753,-0.0029753882244141034,-0.11002855533703118,-0.00012372412756625484
0.36000000000000004,0.0008774773378817933,-0.003000767772640632,-0.115415719217175,-0.00013291369936332953
0.38,0.0005342770353501394,-0.003023753463098407,-0.12030367595468952,-0.00014442907731139487
