axis,kind,start_s,end_s,duration_s,count,status,r2,rmse,coefficient,value
surge_x,combined,,,,581,ok,0.7077180429312007,9.586121104868774,added_mass_u_dot,3.72892610028
surge_x,combined,,,,581,ok,0.7077180429312007,9.586121104868774,linear_damping_u,-72.1175702259
surge_x,combined,,,,581,ok,0.7077180429312007,9.586121104868774,quadratic_damping_u,285.466835263
surge_x,combined,,,,581,ok,0.7077180429312007,9.586121104868774,bias_force_x,-25.3890567474
surge_x,segment,54.66538208899999,57.765382088999985,3.0999999999999943,63,ok,0.5468258870041343,3.894127029389323,added_mass_u_dot,-4.67954939072
surge_x,segment,54.66538208899999,57.765382088999985,3.0999999999999943,63,ok,0.5468258870041343,3.894127029389323,linear_damping_u,-151.212895888
surge_x,segment,54.66538208899999,57.765382088999985,3.0999999999999943,63,ok,0.5468258870041343,3.894127029389323,quadratic_damping_u,251.682215402
surge_x,segment,54.66538208899999,57.765382088999985,3.0999999999999943,63,ok,0.5468258870041343,3.894127029389323,bias_force_x,-41.4408035044
surge_x,segment,87.36538208899998,88.91538208899998,1.5499999999999972,32,ok,0.7409044049406649,0.40083058474451744,added_mass_u_dot,-9.85710921574
surge_x,segment,87.36538208899998,88.91538208899998,1.5499999999999972,32,ok,0.7409044049406649,0.40083058474451744,linear_damping_u,2299.16600615
surge_x,segment,87.36538208899998,88.91538208899998,1.5499999999999972,32,ok,0.7409044049406649,0.40083058474451744,quadratic_damping_u,-4277.93904247
surge_x,segment,87.36538208899998,88.91538208899998,1.5499999999999972,32,ok,0.7409044049406649,0.40083058474451744,bias_force_x,287.912106313
surge_x,segment,96.16538208899998,97.11538208899998,0.9500000000000028,20,ok,0.914624540337928,1.0921519405919433,added_mass_u_dot,-38.8630590693
surge_x,segment,96.16538208899998,97.11538208899998,0.9500000000000028,20,ok,0.914624540337928,1.0921519405919433,linear_damping_u,1203.85085292
surge_x,segment,96.16538208899998,97.11538208899998,0.9500000000000028,20,ok,0.914624540337928,1.0921519405919433,quadratic_damping_u,-3447.47515396
surge_x,segment,96.16538208899998,97.11538208899998,0.9500000000000028,20,ok,0.914624540337928,1.0921519405919433,bias_force_x,76.9806436145
surge_x,segment,97.46538208899997,113.21538208899997,15.75,316,ok,0.8734832586135934,6.575354390519608,added_mass_u_dot,16.6402988499
surge_x,segment,97.46538208899997,113.21538208899997,15.75,316,ok,0.8734832586135934,6.575354390519608,linear_damping_u,83.4434270121
surge_x,segment,97.46538208899997,113.21538208899997,15.75,316,ok,0.8734832586135934,6.575354390519608,quadratic_damping_u,103.822476372
surge_x,segment,97.46538208899997,113.21538208899997,15.75,316,ok,0.8734832586135934,6.575354390519608,bias_force_x,8.76705859126
surge_x,segment,114.66538208899998,120.31538208899997,5.6499999999999915,114,ok,0.08066372743335548,7.8251108889000855,added_mass_u_dot,0.341812641329
surge_x,segment,114.66538208899998,120.31538208899997,5.6499999999999915,114,ok,0.08066372743335548,7.8251108889000855,linear_damping_u,-119.570681015
