t,nu_u,nu_v,nu_w,nu_p,nu_q,nu_r,nudot_udot,nudot_vdot,nudot_wdot,nudot_pdot,nudot_qdot,nudot_rdot,thr_fx,thr_fy,thr_fz,thr_tx,thr_ty,thr_tz,mujoco_fluid_fx,mujoco_fluid_fy,mujoco_fluid_fz,mujoco_fluid_tx,mujoco_fluid_ty,mujoco_fluid_tz,target_fx,target_fy,target_fz,target_tx,target_ty,target_tz
0.315382089,nan,nan,nan,-0.00214987939098,-0.000566913903759,0.00393283784354,0,0,0,0.00541611444091,-0.00943463098514,-0.00296214157646,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0.00256385858958,-0.00349298342963,-0.00218998828316
0.365382089,nan,nan,nan,-0.00187907366894,-0.00103864545302,0.00378473076472,0,0,0,0.00362718723239,-0.00768162735633,-0.00294519374746,12.4798951942,1.54396946299,-8.52919016976,-0.0756325607372,-1.40399345311,3.4030422838,nan,nan,nan,nan,nan,nan,-12.4798951942,-1.54396946299,8.52919016976,0.0773495841205,1.40114948421,-3.40521974211
0.415382089,nan,nan,nan,-0.00178716066774,-0.00133507663939,0.0036383184688,0,0,0,0.00159364319178,-0.00645105515263,-0.00316507341145,18.3775046401,2.2072023943,-13.2888810331,-0.104814246051,-2.19068838067,5.02968310169,nan,nan,nan,nan,nan,nan,-18.3775046401,-2.2072023943,13.2888810331,0.10556863849,2.18830000652,-5.03202312276
0.465382089,nan,nan,nan,-0.00171970934976,-0.00168375096828,0.00346822342357,0,0,0,0.00501293033748,-0.00520677478406,-0.00254541543649,20.2977379932,2.56113132916,-14.6935049855,-0.127254321611,-2.42230912857,5.63316215938,nan,nan,nan,nan,nan,nan,-20.2977379932,-2.56113132916,14.6935049855,0.129627322522,2.42038142434,-5.63504405119
0.515382089,nan,nan,nan,-0.001285867634,-0.0018557541178,0.00338377692515,0,0,0,0.00471304508479,-0.00239162037724,-0.00146385901231,20.8399840339,2.65746231277,-15.1540097885,-0.145064662451,-2.49850770215,5.80540819885,nan,nan,nan,nan,nan,nan,-20.8399840339,-2.65746231277,15.1540097885,0.147295704881,2.49762225254,-5.80649046788
0.565382089,nan,nan,nan,-0.00124840484128,-0.001922913006,0.00332183752234,0,0,0,0.000391724830476,-0.00103613046526,-0.00014908745476,21.0084300503,2.68149567945,-15.2867694697,-0.150349752485,-2.52017543944,5.85835123404,nan,nan,nan,nan,nan,nan,-21.0084300503,-2.68149567945,15.2867694697,0.150535185618,2.51979183286,-5.85846145827
0.615382089,nan,nan,nan,-0.00124669515095,-0.00195936716432,0.00336886817967,0,0,0,0.00157982736118,0.00195827548331,0.0013801980625,21.056690642,2.68838135429,-15.3286480719,-0.152765363643,-2.52580316028,5.87351966758,nan,nan,nan,nan,nan,nan,-21.056690642,-2.68838135429,15.3286480719,0.153513216,2.52652817262,-5.87249925127
0.665382089,nan,nan,nan,-0.00109042210516,-0.00172708545767,0.00345985732859,0,0,0,0.000723461607839,0.00331430883175,0.00221747992986,21.070517533,2.69035413316,-15.3400326409,-0.153313438269,-2.5273117884,5.87786549655,nan,nan,nan,nan,nan,nan,-21.070517533,-2.69035413316,15.3400326409,0.153655907631,2.52853884496,-5.87622605598
0.715382089,nan,nan,nan,-0.00117434899016,-0.00162793628115,0.00359061617266,0,0,0,-0.00208376761178,0.00701666119899,0.00397914902014,21.0744790037,2.69091934377,-15.3430196235,-0.153406007698,-2.52769758468,5.8791105974,nan,nan,nan,nan,nan,nan,-21.0744790037,-2.69091934377,15.3430196235,0.152419602121,2.53029536315,-5.87616870907
0.765382089,nan,nan,nan,-0.00129879886634,-0.00102541933777,0.00385777223061,0,0,0,-0.000688006365642,0.0116500904942,0.00634476471942,21.075613984,2.69108127932,-15.3438754084,-0.153432529283,-2.52780811716,5.87946732476,nan,nan,nan,nan,nan,nan,-21.075613984,-2.69108127932,15.3438754084,0.153106843582,2.53212133016,-5.87477647524
0.815382089,nan,nan,nan,-0.00124314962673,-0.000462927231726,0.0042250926446,0,0,0,-0.00241489286667,0.00887325952836,0.00610722877847,21.0759391613,2.69112767464,-15.3441205948,-0.153440127844,-2.52783978525,5.87956952886,nan,nan,nan,nan,nan,nan,-21.0759391613,-2.69112767464,15.3441205948,0.152296975519,2.53112493212,-5.87505429584
0.865382089,nan,nan,nan,-0.00154028815301,-0.000138093384935,0.00446849510845,0,0,0,-0.00307563117898,0.00725120409551,0.00152517522722,21.0760323261,2.69114096712,-15.3441908419,-0.153442304869,-2.52784885831,5.87959881083,nan,nan,nan,nan,nan,nan,-21.0760323261,-2.69114096712,15.3441908419,0.151986374884,2.5305334716,-5.87847120913
0.915382089,nan,nan,nan,-0.00155071274463,0.000262193177825,0.00437761016732,0,0,0,0.00113615000748,0.00579353926569,-0.00501763648829,21.0760590183,2.69114477547,-15.3442109681,-0.153442928597,-2.52785145778,5.87960720025,nan,nan,nan,nan,nan,nan,-21.0760590183,-2.69114477547,15.3442109681,0.153980754742,2.52999639982,-5.88331686937
0.965382089,nan,nan,nan,-0.00142667315226,0.000441260541634,0.00396673145962,0,0,0,0.00152401324117,0.00573569056831,-0.0126928882368,21.0760666658,2.69114586659,-15.3442167343,-0.153443107298,-2.52785220254,5.87960960386,nan,nan,nan,nan,nan,nan,-21.0760666658,-2.69114586659,15.3442167343,0.15416453859,2.52997572726,-5.88899378615
1.015382089,nan,nan,nan,-0.00139831142051,0.000835762234656,0.00310832134364,0,0,0,-5.17747781288e-05,0.00452405678445,-0.0223243130761,21.0760688568,2.6911461792,-15.3442183863,-0.153443158496,-2.52785241592,5.87961029251,nan,nan,nan,nan,nan,nan,-21.0760688568,-2.6911461792,15.3442183863,0.153418649559,2.52952735746,-5.8961152376
1.065382089,nan,nan,nan,-0.00143185063007,0.000893666220078,0.00173430015201,0,0,0,0.00172922623575,0.000314009245647,-0.0315686301438,21.0760694845,2.69114626876,-15.3442188597,-0.153443173165,-2.52785247705,5.87961048981,nan,nan,nan,nan,nan,nan,-21.0760694845,-2.69114626876,15.3442188597,0.154261747364,2.5279687327,-5.90294999886
1.115382089,nan,nan,nan,-0.00122538879694,0.000867163159221,-4.85416707434e-05,0,0,0,0.005627000494,-0.0006940364786,-0.0389583920079,21.0760696644,2.69114629442,-15.3442189953,-0.153443177368,-2.52785249457,5.87961054633,nan,nan,nan,nan,nan,nan,-21.0760696644,-2.69114629442,15.3442189953,0.156106864353,2.52759554144,-5.90841349846
