axis,coefficient,value,rmse,r2,active_lower_bounds,condition_number_scaled
surge_x,added_mass_u_dot,1.35839631145,2.0576809421779134,0.9599527444886594,,8.790825918065387
surge_x,linear_damping_u,3.27917264323,2.0576809421779134,0.9599527444886594,,8.790825918065387
surge_x,quadratic_damping_u,126.166129055,2.0576809421779134,0.9599527444886594,,8.790825918065387
surge_x,bias_force_x,-0.0212841978419,2.0576809421779134,0.9599527444886594,,8.790825918065387
sway_y,added_mass_v_dot,22.1867945067,2.8568964567897037,0.7010627516699209,quadratic_damping_v,5.035387763136921
sway_y,linear_damping_v,90.3227874959,2.8568964567897037,0.7010627516699209,quadratic_damping_v,5.035387763136921
sway_y,quadratic_damping_v,0,2.8568964567897037,0.7010627516699209,quadratic_damping_v,5.035387763136921
sway_y,bias_force_y,1.55842888283,2.8568964567897037,0.7010627516699209,quadratic_damping_v,5.035387763136921
heave_z,added_mass_w_dot,0.00134521442364,0.7740265320615628,0.7288105051823253,,4.859624976775854
heave_z,linear_damping_w,16.9430148558,0.7740265320615628,0.7288105051823253,,4.859624976775854
heave_z,quadratic_damping_w,41.9911750824,0.7740265320615628,0.7288105051823253,,4.859624976775854
heave_z,net_buoyancy_minus_weight,-0.458896548643,0.7740265320615628,0.7288105051823253,,4.859624976775854
heave_z,depth_stiffness_about_mean,2.59044301534,0.7740265320615628,0.7288105051823253,,4.859624976775854
roll_k,added_inertia_p_dot,0.668344735913,0.5111215069178343,0.3653098412756183,quadratic_damping_p,5.102508804686745
roll_k,linear_damping_p,5.84453108446,0.5111215069178343,0.3653098412756183,quadratic_damping_p,5.102508804686745
roll_k,quadratic_damping_p,0,0.5111215069178343,0.3653098412756183,quadratic_damping_p,5.102508804686745
roll_k,restoring_roll,1.30816298275,0.5111215069178343,0.3653098412756183,quadratic_damping_p,5.102508804686745
roll_k,bias_torque_roll,-0.0430293586102,0.5111215069178343,0.3653098412756183,quadratic_damping_p,5.102508804686745
pitch_m,added_inertia_q_dot,0.107835310026,0.2884282722622986,0.6204733912829694,quadratic_damping_q;restoring_pitch,5.238409979088317
pitch_m,linear_damping_q,3.99724834333,0.2884282722622986,0.6204733912829694,quadratic_damping_q;restoring_pitch,5.238409979088317
pitch_m,quadratic_damping_q,0,0.2884282722622986,0.6204733912829694,quadratic_damping_q;restoring_pitch,5.238409979088317
pitch_m,restoring_pitch,0,0.2884282722622986,0.6204733912829694,quadratic_damping_q;restoring_pitch,5.238409979088317
pitch_m,bias_torque_pitch,-0.0395315651789,0.2884282722622986,0.6204733912829694,quadratic_damping_q;restoring_pitch,5.238409979088317
yaw_n,added_inertia_r_dot,0,1.2509065360422857,0.9765822504685577,added_inertia_r_dot,5.775634403133706
yaw_n,linear_damping_r,1.01779991978,1.2509065360422857,0.9765822504685577,added_inertia_r_dot,5.775634403133706
yaw_n,quadratic_damping_r,17.9645986366,1.2509065360422857,0.9765822504685577,added_inertia_r_dot,5.775634403133706
yaw_n,bias_torque_yaw,0.063922707312,1.2509065360422857,0.9765822504685577,added_inertia_r_dot,5.775634403133706
