t,nu_u,nu_v,nu_w,nu_p,nu_q,nu_r,nudot_udot,nudot_vdot,nudot_wdot,nudot_pdot,nudot_qdot,nudot_rdot,thr_fx,thr_fy,thr_fz,thr_tx,thr_ty,thr_tz,target_fx,target_fy,target_fz,target_tx,target_ty,target_tz
0.315382089,nan,nan,nan,-0.00214987939098,-0.000566913903759,0.00393283784354,0,0,0,0.00541611444091,-0.00943463098514,-0.00296214157646,0,0,0,0,0,0,0,0,0,0.00256385858958,-0.00349298342963,-0.00218998828316
0.365382089,nan,nan,nan,-0.00187907366894,-0.00103864545302,0.00378473076472,0,0,0,0.00362718723239,-0.00768162735633,-0.00294519374746,63.6729346643,7.87739521932,-19.7434957633,-0.187985547575,-3.14563198001,17.3624606316,-63.6729346643,-7.87739521932,19.7434957633,0.189702570958,3.14278801111,-17.36463809
0.415382089,nan,nan,nan,-0.00178716066774,-0.00133507663939,0.0036383184688,0,0,0,0.00159364319178,-0.00645105515263,-0.00316507341145,93.7627787762,11.2612367056,-30.7612986876,-0.261081485274,-4.91737114188,25.661648478,-93.7627787762,-11.2612367056,30.7612986876,0.261835877713,4.91498276773,-25.6639884991
0.465382089,nan,nan,nan,-0.00171970934976,-0.00168375096828,0.00346822342357,0,0,0,0.00501293033748,-0.00520677478406,-0.00254541543649,103.559887721,13.0669965773,-34.012743022,-0.315985544416,-5.43747390756,28.7406232622,-103.559887721,-13.0669965773,34.012743022,0.318358545327,5.43554620333,-28.742505154
0.515382089,nan,nan,nan,-0.001285867634,-0.0018557541178,0.00338377692515,0,0,0,0.00471304508479,-0.00239162037724,-0.00146385901231,106.326449152,13.5584811876,-35.0787263622,-0.358018673915,-5.60932540775,29.619429586,-106.326449152,-13.5584811876,35.0787263622,0.360249716345,5.60843995814,-29.620511855
0.565382089,nan,nan,nan,-0.00124840484128,-0.001922913006,0.00332183752234,0,0,0,0.000391724830476,-0.00103613046526,-0.00014908745476,107.185867604,13.6811004054,-35.3860404391,-0.370453637898,-5.65807371569,29.8895471124,-107.185867604,-13.6811004054,35.3860404391,0.370639071032,5.65769010911,-29.8896573367
0.615382089,nan,nan,nan,-0.00124669515095,-0.00195936716432,0.00336886817967,0,0,0,0.00157982736118,0.00195827548331,0.0013801980625,107.432095112,13.7162313995,-35.482981648,-0.376102906189,-5.67069730774,29.9669370795,-107.432095112,-13.7162313995,35.482981648,0.376850758546,5.67142232008,-29.9659166632
0.665382089,nan,nan,nan,-0.00109042210516,-0.00172708545767,0.00345985732859,0,0,0,0.000723461607839,0.00331430883175,0.00221747992986,107.502640475,13.7262965978,-35.5093348169,-0.377388093196,-5.67407388645,29.9891096763,-107.502640475,-13.7262965978,35.5093348169,0.377730562558,5.67530094301,-29.9874702357
0.715382089,nan,nan,nan,-0.00117434899016,-0.00162793628115,0.00359061617266,0,0,0,-0.00208376761178,0.00701666119899,0.00397914902014,107.522852059,13.7291803254,-35.5162491285,-0.377607100389,-5.67493380884,29.9954622316,-107.522852059,-13.7291803254,35.5162491285,0.376620694812,5.67753158731,-29.9925203433
0.765382089,nan,nan,nan,-0.00129879886634,-0.00102541933777,0.00385777223061,0,0,0,-0.000688006365642,0.0116500904942,0.00634476471942,107.528642775,13.7300065272,-35.5182301119,-0.377669847,-5.67518018073,29.9972822692,-107.528642775,-13.7300065272,35.5182301119,0.377344161299,5.67949339373,-29.9925914197
