t_s,forward_m,lateral_m,relative_z_m,relative_yaw_rad
0.0,0.0,0.0,0.0,0.0
0.02,0.0004898456480994485,-0.000387236036742303,-0.004322952472684716,9.729745434189363e-05
0.028,0.0006718522120869478,-0.0005293321452092415,-0.005733545443265403,0.00013448249024639036
0.04,0.0009298960515481468,-0.0007319308121910501,-0.007567162789858556,0.00018863163873744648
0.060000000000000005,0.001322384960213886,-0.001047204852023807,-0.010062431560690782,0.0002750404805750145
0.08,0.0016749797364915989,-0.0013395156194738196,-0.012165066309203498,0.0003574652568387737
0.1,0.0019978823208406933,-0.0016111500324694395,-0.014128621926570467,0.0004367539517380059
0.12200000000000001,0.0023162031347490337,-0.001890785914244684,-0.016481978728057428,0.0005202944289209588
0.14200000000000002,0.002576291383997981,-0.002127157671610955,-0.019100719046977882,0.000592817980224869
0.162,0.0028151903023881063,-0.0023450106386898165,-0.02224832108395708,0.0006622575023626925
0.18200000000000002,0.0030380514896574005,-0.002543533079334474,-0.0257966858859493,0.0007290313616236388
0.202,0.003249634365306303,-0.002724018094286067,-0.029463906389975536,0.0007936230426061341
0.222,0.0034530367923220427,-0.0028889237348274596,-0.03290092452337812,0.0008564589064198325
0.24200000000000002,0.003648561880961295,-0.003037846311514369,-0.03591866456044654,0.0009178862789896436
0.25,0.003726442472359047,-0.003094615447221644,-0.036949411476783156,0.0009422032807348824
0.262,0.0038439081871648744,-0.003177710996084117,-0.03823195983840896,0.0009784898679320586
0.28200000000000003,0.0040440057966060535,-0.0033153806915227637,-0.03944265931216809,0.0010386400668323664
0.30200000000000005,0.004250381760266958,-0.0034571013697034325,-0.039076100063559216,0.0010985198200659102
0.322,0.004454749820170363,-0.003599867435493409,-0.03681924789526411,0.0011576629380888603
0.342,0.004645622429424289,-0.0037329321250000034,-0.032844433036916976,0.001214603858021815
0.36200000000000004,0.004817232165004323,-0.003849170192980539,-0.027756374823665414,0.0012680215217191343
0.382,0.004968621457598699,-0.003948450754148169,-0.022306857528527485,0.001317318439462728
0.402,0.005101758953063985,-0.004035092091605327,-0.01706675935170282,0.0013626638773810984
0.42200000000000004,0.005219356810623381,-0.004113016205585184,-0.012426384647760136,0.0014046718689645354
0.442,0.00532426551863982,-0.004187372117939784,-0.008551816694020248,0.0014440300651110127
0.462,0.005418598624549284,-0.004262300855871306,-0.0058206680844443415,0.0014815312033437666
0.47800000000000004,0.005489594630705585,-0.004325541700980112,-0.004724190046025839,0.0015108328801467924
0.48200000000000004,0.005507181088414119,-0.004341720739548522,-0.0046245412351174076,0.0015181298950030786
0.502,0.0055963629928557695,-0.00441930987029234,-0.005201934475331876,0.0015544212470746527
0.522,0.0056875906690035324,-0.004483637981705677,-0.0073668699731632425,0.0015901367746133377
0.542,0.00577837623161029,-0.004528515540621826,-0.010510947119116765,0.0016254352843685788
0.562,0.00586717710996731,-0.004557180615528299,-0.014000679753618989,0.0016605449770685787
0.5820000000000001,0.005954006551822782,-0.004576280460585771,-0.01727686413114113,0.0016955620715222858
0.6020000000000001,0.006039536793954408,-0.004593667023731833,-0.020091296760811506,0.00173043818471251
0.622,0.0061255766690563,-0.004618276975128683,-0.022070907037585713,0.0017650738602666693
0.642,0.006213368027644371,-0.004658154839027664,-0.022744744929420885,0.0017994167391418708
0.662,0.006302415084988652,-0.00471277110737518,-0.021640221630782996,0.0018336595750225726
0.682,0.0063881636943859,-0.0047683444619467325,-0.018645934088479255,0.0018672883418284353
0.7020000000000001,0.006466426754584937,-0.004809641838935464,-0.014223253420614562,0.0018992232031145723
0.7020000000000001,0.006466426754584937,-0.004809641838935464,-0.014223253420614562,0.0018992232031145723
0.7220000000000001,0.006534626455220467,-0.004833883422756077,-0.00911194887379116,0.0019286100273174234
0.742,0.006592593000958235,-0.004848765811859375,-0.003984917738688393,0.001955269417199937
0.764,0.0066455027137347945,-0.004866067215073885,0.0011172730228593275,0.0019818375623500417
0.78,0.006678234000201631,-0.004880877406536097,0.004322454481096222,0.00199972778859879
0.8,0.006712939063633953,-0.004905896827472185,0.007443512541708719,0.0020208543639873566
0.8200000000000001,0.006742920294358894,-0.004938588291706132,0.009171567635174821,0.0020411775049442166
0.8400000000000001,0.006771853544384141,-0.004974404127734582,0.009017501050947285,0.002061228959635411
0.8600000000000001,0.006801967779173,-0.004999180672278004,0.0068283834762407625,0.002080976182037869
0.88,0.006833993430142024,-0.005004515304751562,0.0030619451803961806,0.0021007208669995697
0.9,0.006867777107213511,-0.004995772012731707,-0.0014656391477196051,0.0021208130459477725
0.92,0.0069029194147813425,-0.004983681801245934,-0.006070734525948723,0.0021413153004527508
0.924,0.006910197029466483,-0.0049816603480736035,-0.0069466226080579785,0.002145456112391378
0.9400000000000001,0.006939508813357914,-0.004973294827848028,-0.010228092903709157,0.002162080596858143
0.9600000000000001,0.006977414284349455,-0.004967813153361634,-0.013737321501584243,0.002182906112201455
0.9820000000000001,0.007021567757903146,-0.004972491778138086,-0.016443388745363996,0.0022057048584718797
1.002,0.007063662375892795,-0.00498830529232215,-0.017392366092333883,0.0022262705544335015
1.022,0.007106222030064847,-0.005010516595532778,-0.016516550378995187,0.002246757557769194
1.042,0.007146198578748048,-0.005028312268406777,-0.01382529924780787,0.002266748086724779
1.062,0.007181104476639814,-0.005035223127604813,-0.009849607143622208,0.0022855264143192555
1.082,0.007209378974972051,-0.005033686358472154,-0.005315493395133569,0.0023026330354372765
1.102,0.007231115579348548,-0.005030818350888499,-0.0008117153751591999,0.0023180443964186392
1.122,0.007247133995610381,-0.005029675330885773,0.003241843276104439,0.002332008602353594
1.1420000000000001,0.007258114128064577,-0.005034395211325422,0.00662419614192844,0.002344852528199687
1.1500000000000001,0.007261075217773408,-0.005038386007358763,0.007693248331646058,0.0023497574638003393
1.1620000000000001,0.007264304922068087,-0.005046719772143499,0.00889613728668412,0.0023569495683989222
1.1820000000000002,0.007268236253724757,-0.005067163862313386,0.009531525634499605,0.0023687217556597057
1.2000000000000002,0.007272040946818373,-0.005084936730262242,0.008344502573589069,0.002379153724073088
1.22,0.007278386640941237,-0.005091964381348471,0.0051591386601858025,0.002390723703541542
1.24,0.0072885005494615455,-0.005083529348519714,0.0006719804018506803,0.002402733611685179
1.26,0.007301879817091111,-0.005067467755502459,-0.004278647855700313,0.002415432103846704
1.28,0.007318060976747191,-0.0050530304368340195,-0.009064347385886296,0.002428781467321492
1.3,0.007336692036205209,-0.005041486691902951,-0.013275148258643954,0.002442573592362829
1.32,0.007357990976060751,-0.005035865331390985,-0.016732977126454135,0.0024566022743221366
1.34,0.007382198029865113,-0.00503681988209485,-0.01908514208307574,0.002470696012649723
1.36,0.007408487921910303,-0.005044018570264241,-0.01990769190503064,0.0024847599146803484
1.3760000000000001,0.007429724448894955,-0.0050514355647258416,-0.019245514704662958,0.002495971085266377
1.3800000000000001,0.007434888721218656,-0.005053067256436939,-0.018891969082940885,0.0024987484766242074
1.4000000000000001,0.007458805698982201,-0.005058327404897958,-0.016131425725770587,0.0025122584738470344
1.4200000000000002,0.007478187203952599,-0.005058014221991031,-0.01218597190426085,0.002524746878248621
1.4400000000000002,0.007492171991249133,-0.005054697372930348,-0.007779138203639929,0.0025359090810960355
1.4600000000000002,0.007500333419655694,-0.0050513226791653425,-0.0034737269266298942,0.0025457459572989366
1.48,0.007503362489117402,-0.005048568022309162,0.00036178525240873616,0.0025544711601398346
1.5,0.007501653055927277,-0.005050776823859169,0.0034652000447980835,0.0025623573184055254
1.52,0.007496256827883712,-0.005059313025052143,0.005376188200772625,0.0025697321876174822
1.54,0.007490078937733346,-0.0050739968578488465,0.005561212609236199,0.002576916623183531
1.56,0.007485873171658218,-0.005086142095145224,0.0036935028056134522,0.002584020891130842
1.58,0.0074856178431975335,-0.005086506248568375,6.338847194140018e-05,0.002591356299275538
1.6,0.007490139039628474,-0.005075650916931916,-0.004521675721205376,0.0025993389749197904
1.6,0.007490139039628474,-0.005075650916931916,-0.004521675721205376,0.0025993389749197904
1.622,0.007499213748044719,-0.005059150010369768,-0.009776137762231102,0.0026090029769771372
1.6420000000000001,0.00751123770882321,-0.00504662281817404,-0.014135887227653937,0.002618471201354014
1.6620000000000001,0.007525865592982686,-0.005037379388297445,-0.01787686659753604,0.0026283518996747246
1.6820000000000002,0.00754344863625317,-0.005034186900440119,-0.020706178473464176,0.00263845322836187
1.7020000000000002,0.007563409239075124,-0.0050374574233178,-0.022229024114935103,0.0026486133949783913
1.7220000000000002,0.00758448041695308,-0.005044813079052204,-0.022024710491884286,0.002658770031973706
1.7420000000000002,0.007604614748591005,-0.005050686451730506,-0.019947744680651636,0.0026687225572423617
1.762,0.007621585557988943,-0.005051584058997414,-0.016361229373017927,0.0026779832038710677
1.782,0.007633747394739922,-0.005048219978525088,-0.011947744443235708,0.002686117869622223
1.802,0.007640921000692841,-0.005043578319583723,-0.007365328190069548,0.002692992545461473
1.822,0.00764283378697502,-0.0050388088197059165,-0.0031054446187217533,0.0026987155530936446
1.826,0.0076426906147570054,-0.005037766393888657,-0.002315845701493402,0.00269974448827906
1.842,0.007640406924360727,-0.005035238084482222,0.0005852382063753214,0.0027035428720359606
1.862,0.007633956255449222,-0.005037123568487753,0.0033515085209020745,0.0027077568132137797
1.8820000000000001,0.007625161649178449,-0.005047052672988936,0.004714337105429428,0.0027116678608228584
1.9020000000000001,0.007616652392596741,-0.005062405299145081,0.0041801917463556715,0.0027154789923827943
1.9220000000000002,0.007610680841650034,-0.005072649326348959,0.0016685391808451133,0.002719312662246176
1.9420000000000002,0.007608841204308573,-0.005071022870152555,-0.002302093560282187,0.00272358182296821
1.9620000000000002,0.007610958055389742,-0.005060643049163247,-0.006895424768261937,0.00272861182794637
1.9820000000000002,0.007616515726314781,-0.005048191685975879,-0.01145922648833006,0.002734443400817313
2.0020000000000002,0.0076251934893820554,-0.005037934482518455,-0.01552808304716835,0.002740910475900027
2.0220000000000002,0.00763714138768503,-0.005031784897516075,-0.018909047129029688,0.002747797712509187
2.0420000000000003,0.007652878235388782,-0.005031046654592926,-0.021245586352901163,0.002754902371213633
2.0500000000000003,0.007660064268340415,-0.005032494043194299,-0.021793411103724236,0.0027577674250416073
2.0620000000000003,0.007671507004144921,-0.005036116696353927,-0.02210705444071301,0.0027620745755102954
2.0820000000000003,0.0076908170385502975,-0.005043875646763948,-0.02110962189379978,0.002769229874608814
2.1020000000000003,0.007707967074201766,-0.005048754217851289,-0.0182679290658892,0.002776043463469255
2.1220000000000003,0.007721030622301291,-0.005048079092087393,-0.014121600240446591,0.00278202244733515
2.1420000000000003,0.007728971182942692,-0.0050437384988504825,-0.009424367370759468,0.0027868413076644893
2.162,0.0077317050969405885,-0.005039403059074863,-0.004783348899075002,0.0027904792845030446
2.182,0.007729622094597056,-0.005037025980399362,-0.0006190651087926435,0.0027931232134482398
2.202,0.007723428069633857,-0.0050381684385944125,0.0028539530000936397,0.002795032306019296
2.222,0.007713606590345174,-0.005043207549457915,0.005200957779662341,0.002796492598596101
2.242,0.0077026681943362565,-0.005052436190592534,0.005917322788359214,0.0027977902297529195
2.262,0.007693009846026392,-0.005060574569322475,0.004623476838863105,0.002799064674701715
2.274,0.007688628633867583,-0.00506214124354049,0.0029218215094992117,0.0027999145000403847
2.282,0.007686558318790502,-0.0050614185079406165,0.001480034626733684,0.002800576534348273
2.302,0.007684761488205099,-0.0050542266119953955,-0.0028031756177607503,0.0028027501433795093
2.3200000000000003,0.007686516770047011,-0.005044978580302435,-0.006985011372134892,0.0028054449273839516
2.3400000000000003,0.007691979601667223,-0.005035333534511038,-0.011450671474070417,0.002809228846144124
2.3600000000000003,0.007700215067694549,-0.005027243211142856,-0.01538337239866816,0.0028136493781838467
2.3800000000000003,0.007711681955447527,-0.005022962522859677,-0.018571705580308462,0.0028184934967234315
2.4000000000000004,0.007726541511855285,-0.0050236834479177855,-0.020644533985973657,0.0028235506395593857
2.42,0.007743982202452406,-0.005028899644047004,-0.02115373171677956,0.0028286770245381787
2.44,0.007761751374023097,-0.005034863659255824,-0.01978816195488478,0.0028337653026602877
2.46,0.007777122466531904,-0.0050370604502160896,-0.016693831599900316,0.0028384823945834387
2.48,0.007788179478679996,-0.005034862676225429,-0.01246435180208258,0.0028423887367845513
2.5,0.007794286655155905,-0.0050301847787569505,-0.007825054004323734,0.002845238045298723
2.5,0.007794286655155905,-0.0050301847787569505,-0.007825054004323734,0.002845238045298723
2.52,0.0077954754936308684,-0.005026519340774271,-0.0033476347077113777,0.002847051599348352
2.54,0.007792459723950995,-0.00502467321136847,0.0006108952888888575,0.002848030056474715
2.56,0.007785224555461403,-0.0050260724370080915,0.00379664325930007,0.0028484108835664795
2.58,0.007774307247397095,-0.00502989923551188,0.005758274330590951,0.0028484675759888195
2.6,0.007761980055042717,-0.0050358505047971075,0.005979056197114224,0.0028484320687575393
2.62,0.0077508712350346,-0.00504009176885421,0.0041689559792370545,0.0028484303425899693
2.64,0.007743438243351905,-0.005039908125259327,0.0006329067907155095,0.0028487956666473635
2.66,0.007741196952308478,-0.005036007141865338,-0.0038647650963597735,0.002849933430205856
2.68,0.007742990079641066,-0.005030659207323553,-0.008574465225333533,0.002851994574620584
2.7,0.007748508177265813,-0.005025799124832314,-0.012931205585676703,0.00285489611403944
2.72,0.0077570955109994965,-0.0050218753833993655,-0.016688228021718793,0.002858418401249757
2.724,0.007759230136496168,-0.005021313102508586,-0.017343515277347843,0.002859177704558513
2.74,0.007769184884446718,-0.005019882971843451,-0.019547963549921776,0.002862333367044667
2.7600000000000002,0.007784368857171362,-0.005020362672241953,-0.02110977447587642,0.002866413776746124
2.7800000000000002,0.0078012411522116265,-0.005022912518497544,-0.020940302953806528,0.0028705190253579954
2.8000000000000003,0.007817478225123818,-0.005025760998767815,-0.018867826269763105,0.0028744933663977096
2.8200000000000003,0.00783085519637694,-0.005027041887689792,-0.015251062554965056,0.002877960816694919
2.8400000000000003,0.007839713666956937,-0.0050263760480972666,-0.010784661268754936,0.0028805427673153777
2.8600000000000003,0.007843603772430876,-0.005024295308555361,-0.006142015083483138,0.002882094153459011
2.8800000000000003,0.007842846228357753,-0.005022881981223194,-0.0018385913169153,0.0028827074531768
2.9000000000000004,0.007838198652338245,-0.005022373567425022,0.0018793129634449013,0.002882603067070902
2.9200000000000004,0.007829092485375461,-0.005023443812339614,0.004657850506393474,0.0028820263449266664
2.9400000000000004,0.007816589982957057,-0.005026166508200594,0.006021905663453092,0.002881245855693798
2.9480000000000004,0.007811157952990269,-0.005027542666155357,0.006051498720072657,0.0028809214382076176
2.96,0.007803184055507738,-0.005029581260110331,0.005473053787962617,0.002880436521527599
2.98,0.0077917997527643165,-0.005031811054714386,0.002927469468023719,0.0028797732394282294
3.0,0.0077849618646967395,-0.0050312317938631035,-0.0010680837758053063,0.002879655260778685
3.02,0.0077828091202813325,-0.005028702108819422,-0.005686041712180789,0.0028803997682925186
3.04,0.007784565475914867,-0.005025486778255173,-0.010267277431400434,0.0028820618583040025
3.06,0.007789697723779151,-0.005022226634282131,-0.014352322385215194,0.0028844863210027993
3.08,0.007798323837400789,-0.005019673799743933,-0.017762496723984833,0.00288745297560003
3.1,0.0078107817859767465,-0.00501860554027685,-0.020145891208096983,0.00289072808682124
3.12,0.00782625266314391,-0.005019784388292306,-0.02106877489959494,0.0028941035231212914
3.14,0.007842707803754215,-0.005022733324650922,-0.02015055636961735,0.00289746734704123
3.16,0.007857488290009648,-0.005025332933592551,-0.017408307646010035,0.0029005881995285976
3.172,0.007864703119747005,-0.005025916680054312,-0.015097605588265423,0.0029021761097898224
3.18,0.007868610043438936,-0.00502586333958485,-0.013378345427146499,0.0029030657122138953
3.2,0.007874746465218761,-0.00502448484023082,-0.008798074043188414,0.002904606449704583
3.22,0.007875946895164,-0.005022490577067852,-0.0042678822888199686,0.002905172045126622
3.24,0.007872851929419293,-0.005020993300474105,-0.00020899399611501446,0.002904921533024074
3.2600000000000002,0.007865772858623358,-0.005020639390584263,0.0031705071906653337,0.002904079024772188
3.2800000000000002,0.00785436577267972,-0.005022041698895023,0.0054484415710765455,0.0029028981428196182
3.3000000000000003,0.007840661261381967,-0.005026263851120322,0.006129657117428106,0.0029016129906355576
3.3200000000000003,0.007827455759227983,-0.005030992953291886,0.004825886182985378,0.0029003399585192102
3.3400000000000003,0.007817401488961252,-0.00503351866211126,0.0016977973579657413,0.0028993396552474265
