candidate,status,score,fluid_linear_scale,fluid_rot_scale,fluid_blunt_scale,fluid_slender_scale,fluid_angular_scale,fluid_kutta,fluid_magnus,profile_updates,tune_mode,command_source,out_dir
buoy1020_heavep10_fluidlinearp10,ok,1.0164972148648086,1.1,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.02, ""surface_heave_damping"": 13.2, ""heave_damping_scale"": 4.4}",closed-loop,,/Users/kanghyunmin/Desktop/uuv_sim/document/docsource/physics_only_closedloop_combo_0_120_20260504/buoy1020_heavep10_fluidlinearp10
buoy1020_heavep10,ok,1.0181472511135412,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.02, ""surface_heave_damping"": 13.2, ""heave_damping_scale"": 4.4}",closed-loop,,/Users/kanghyunmin/Desktop/uuv_sim/document/docsource/physics_only_closedloop_combo_0_120_20260504/buoy1020_heavep10
buoy1020_restore_m10,ok,1.020263306778217,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.02, ""cob_torque_scale"": 1.62, ""cob_z_offset"": 0.036}",closed-loop,,/Users/kanghyunmin/Desktop/uuv_sim/document/docsource/physics_only_closedloop_combo_0_120_20260504/buoy1020_restore_m10
buoy1020_fluidlinearp10,ok,1.0255545149210792,1.1,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.02}",closed-loop,,/Users/kanghyunmin/Desktop/uuv_sim/document/docsource/physics_only_closedloop_combo_0_120_20260504/buoy1020_fluidlinearp10
